id,candidate,sku,source_url,source_gbp,bundle_marker,component_map_json,component_identity_coverage_pct,component_revenue_gbp,separate_fulfilment_gbp,marketplace_fees_gbp,expected_returns_gbp,estimated_cm_gbp,estimated_cm_pct,verification_minutes,verdict,notes
1,KeyMod Sticks V1 / 2 Pack - Reds,FKS102,https://distilunion.com/products/keymod-stick-2-pack-v1?variant=16036839784511,2.20,Pack,,,,,,,,,,,
2,Yeti/Tank PRO 4000 Locking Latch Kit / Default Title,96150,https://goalzero.com/products/yeti-tank-pro-4000-locking-latch-kit?variant=43232346177705,7.30,Kit,,,,,,,,,,,
3,14-Piece Sustainable Kitchen Set / Cream,WP-BUN-SKSET16-CM,https://wandp.com/products/14pc-sustainable-kitchen-set?variant=52513662239088,36.61,14-Piece,,,,,,,,,,,
4,Marlow Cooling Infused Memory Foam Pillow Set of 4 / Standard,RSRSRSRS,https://www.brooklinen.com/products/marlow-cooling-infused-memory-foam-pillow-set-of-4?variant=43869756031066,55.65,Set,,,,,,,,,,,
5,Horizon™ Travel Blanket 4-Pack / Default Title,13BHT4B,https://klymit.com/products/horizon-travel-blanket-4-pack?variant=52532486406512,73.22,Pack,,,,,,,,,,,
6,Warehouse Item - Analog Tray Kit - Black Steel / Default Title,analog-tray-black-wh,https://ugmonk.com/products/warehouse-item-analog-tray-kit-black-steel?variant=45632412057750,10.98,Kit,,,,,,,,,,,
7,Stanley Quencher Boot and Straw Cover Set | 30 OZ & 20 OZ / Hydrangea,100000111282,https://www.stanley1913.com/products/stanley-quencher-boot-and-straw-cover-set-30-oz-20-oz-sale?variant=53973921628520,2.93,Set,,,,,,,,,,,
8,The Stay Smooth Straw Topper | 2-pack / Cherry Blossom,100000111692,https://www.stanley1913.com/products/the-stay-smooth-straw-topper-2-pack-sale?variant=53973920121192,2.93,pack,,,,,,,,,,,
9,Seal Tight Glass Bowl Set / Cocoa,WP-STS-CC-2PSET,https://wandp.com/products/seal-tight-glass-bowl-set?variant=53637588156784,16.11,Set,,,,,,,,,,,
10,5-Pack Night Cable (USB-A to Lightning) / Cosmos,gid:45095026851979,https://nativeunion.com/products/5-pack-night-cable-usb-a-to-lightning?variant=45095026851979,58.58,Pack,,,,,,,,,,,
11,5-Pack Belt Cable XL (USB-A to Lightning) / Zebra,gid:45095025508491,https://nativeunion.com/products/5-pack-belt-cable-xl-usb-a-to-lightning?variant=45095025508491,51.25,Pack,,,,,,,,,,,
12,5-Pack Belt Cable XL (USB-C to Lightning) / Zebra,gid:45095025901707,https://nativeunion.com/products/5-pack-belt-cable-xl-usb-c-to-lightning?variant=45095025901707,51.25,Pack,,,,,,,,,,,
13,5-Pack Belt Cable (USB-C to Lightning) / Zebra,gid:45095023739019,https://nativeunion.com/products/5-pack-belt-cable-usb-c-to-lightning?variant=45095023739019,36.61,Pack,,,,,,,,,,,
14,Warehouse Item - Analog Capture Kit - Large (Black Aluminum) / Default Title,large-card-tray-blk-wh,https://ugmonk.com/products/warehouse-item-analog-capture-kit-large-black-aluminum?variant=46505887006870,28.56,Kit,,,,,,,,,,,
15,BYOB: Star-Studded College Survival Kit / Default Title,gid:44561536286847,https://jeffreestarcosmetics.com/products/byob-star-studded-college-survival-kit?variant=44561536286847,47.60,Kit,,,,,,,,,,,
16,Adam's Holiday Home Care Kit 2025 / Default Title,KIT1963,https://adamspolishes.com/products/adams-holiday-home-care-kit-2025?variant=42596286759009,18.30,Kit,,,,,,,,,,,
17,"Damascus Steel Knife Set, 7-pc (Espresso) / Default Title",CTKFKB07-EPW3,https://hexclad.com/products/espresso-damascus-steel-knife-set-7-piece?variant=42134040641670,277.53,Set,,,,,,,,,,,
18,Splendor Blender Complete Set / Blue Salt,APL.BLEKPK.VBDL.BLU,https://fromourplace.com/products/splendor-blender?variant=46801108861122,87.14,Set,,,,,,,,,,,
19,Small Plates Set / Char,TBW.SPS.VBDL.CHR,https://fromourplace.com/products/small-plates-set?variant=47798287597762,50.53,Set,,,,,,,,,,,
20,FREE Mail-In Knife Sharpening Loaners / Knife Set - 2PC / Varies,KF-MK-4223-2,https://misen.com/products/knife-sharpening-loaners?variant=40594441437265,50.53,Set,,,,,,,,,,,
