gtin,source_domains,source_categories,source_products,gb_status,gb_active_total,gb_exact_items,gb_coherent,gb_usable_market,gb_median_price,gb_currency,us_status,us_active_total,us_exact_items,us_coherent,us_usable_market,us_median_price,us_currency
000000080347,kith.com,Trousers,Kiko Kostadinov Laan Gathered Trousers - Crow Black,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
041604431289,www.stanley1913.com,Travel Bottles & Containers,The Comeback Lunchbox | 5.3 QT,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
090497601019,gsioutdoors.com,GEAR,"Bugaboo Ceramic 10"" Square Frypan",NOT_FOUND,0,0,0,0,,,EXACT_SHALLOW,1,1,1,0,195.48,USD
1200185025648,uk.stanley1913.com,Water Bottles,Classic Wellspring Bottle | 0.47L,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
195429063627,brumate.co.uk,Rise,Rise 25oz (739ml) Leakproof Water Bottle,UNCONFIRMED,1,0,0,0,,,UNCONFIRMED,1,0,0,0,,
195429063641,brumate.co.uk,Rise,Rise 25oz (739ml) Leakproof Water Bottle,UNCONFIRMED,1,0,0,0,,,UNCONFIRMED,1,0,0,0,,
195429070076,brumate.co.uk,Strova,Strova 18oz (532ml) Leakproof Coffee Tumbler,NOT_FOUND,0,0,0,0,,,EXACT_SHALLOW,1,1,1,0,54.58,USD
196928097571,cotopaxi.com,Apparel,Sombra Sun Hoodie - Women's,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
196928097663,cotopaxi.com,Apparel,Sombra Sun Hoodie - Women's,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
196928217993,cotopaxi.com,Equipment,Del Día Dog Collar,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
196928218006,cotopaxi.com,Equipment,Del Día Dog Collar,NOT_FOUND,0,0,0,0,,,NOT_FOUND,0,0,0,0,,
