domain,region,brand_core,marketplace,present,brand_in_titles,identity_tier,identity_evidence,handles,rejected_handles,listings,categories,errors,sample_title,notes
www.allbirds.com,US,allbirds,EBAY_US,dormant,no,not_testable,,allbirds,,0,,,,
www.allbirds.co.uk,GB,allbirds,EBAY_GB,dormant,no,not_testable,,allbirds,,0,,,,
www.allbirds.eu,EU,allbirds,EBAY_DE,dormant,no,not_testable,,allbirds,,0,,,,
www.allbirds.ca,CA,allbirds,EBAY_CA,dormant,no,not_testable,,allbirds,,0,,,,
kith.com,US,kith,EBAY_US,dormant,no,not_testable,,kith|kithuk|kithshop|kithstore,,0,,,,
www.deathwishcoffee.com,US,deathwishcoffee,EBAY_US,dormant,no,not_testable,,deathwishcoffee,,0,,,,
www.beardbrand.com,US,beardbrand,EBAY_US,not_detected,no,not_testable,,,,0,,,,
drinkolipop.com,US,drinkolipop,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.redbullshopus.com,US,redbullshopus,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.tinywoodstove.com,US,tinywoodstove,EBAY_US,not_detected,no,not_testable,,,,0,,,,
gymshark.com,US,gymshark,EBAY_US,candidate_active,yes,legal_info_unavailable,no legal block on any sampled listing (US marketplace),gymshark|gymshark-store,hidie_gymshark(contains),64,Clothing/Shoes:1;Clothing/Shoes:63,,Gymshark Onyx V5 Midnight Long Sleeve,
www.taylorstitch.com,US,taylorstitch,EBAY_US,dormant,no,not_testable,,taylorstitch,,0,,,,
www.brooklinen.com,US,brooklinen,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.tentree.com,US,tentree,EBAY_US,dormant,no,not_testable,,tentree,,0,,,,
www.vessi.com,US,vessi,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.colourpop.com,US,colourpop,EBAY_US,dormant,no,not_testable,,colourpop|colourpopshop,,0,,,,
jeffreestarcosmetics.com,US,jeffreestarcosmetics,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.culturekings.com,US,culturekings,EBAY_US,dormant,no,not_testable,,culturekings|culturekingsofficial,,0,,,,
www.ridgewallet.com,US,ridgewallet,EBAY_US,dormant,no,not_testable,,ridgewallet,,0,,,,
www.rhoback.com,US,rhoback,EBAY_US,not_detected,no,not_testable,,,,0,,,,
www.stanley1913.com,US,stanley1913,EBAY_US,dormant,no,not_testable,,stanley1913,,0,,,,
uk.stanley1913.com,GB,stanley1913,EBAY_GB,dormant,no,not_testable,,stanley1913,,0,,,,
www.aloyoga.com,US,aloyoga,EBAY_US,dormant,no,not_testable,,aloyoga,,0,,,,
peakdesign.com,US,peakdesign,EBAY_US,dormant,no,not_testable,,peakdesign,,0,,,,
