cohort,source_site,source_category,brand,mpn,title,source_url,source_catalogue_lastmod,source_evidence
appliance,eReplacementParts,dishwasher,Frigidaire,154773201,Float Switch,https://www.ereplacementparts.com/parts/dishwasher/frigidaire/erp3492842/float-switch-154773201/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dishwasher,Maytag,W10620451,Control Panel White,https://www.ereplacementparts.com/parts/dishwasher/maytag/erp9493471/control-panel-white-w10620451/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dishwasher,Whirlpool,WP3385142,Dishrack Bumper,https://www.ereplacementparts.com/parts/dishwasher/whirlpool/erp11741379/dishrack-bumper-wp3385142/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dishwasher,Frigidaire,154825001,Heating Element,https://www.ereplacementparts.com/parts/dishwasher/frigidaire/erp3653449/heating-element-154825001/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dishwasher,KitchenAid,W10860176,Spray Arm Assembly,https://www.ereplacementparts.com/parts/dishwasher/kitchenaid/erp11731499/spray-arm-assembly-w10860176/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,refrigerator,Frigidaire,5303323480,Door Shelf End Cap Right Side,https://www.ereplacementparts.com/parts/refrigerator/frigidaire/erp467698/door-shelf-end-cap-right-side-5303323480/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,refrigerator,Whirlpool,WPW10318952,Wire Shelf,https://www.ereplacementparts.com/parts/refrigerator/whirlpool/erp11752739/wire-shelf-wpw10318952/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,refrigerator,KitchenAid,2004565,Hing Bushg,https://www.ereplacementparts.com/parts/refrigerator/kitchenaid/erp321639/hing-bushg-2004565/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,refrigerator,General Electric,WR32X10885,Bottom Pan Cover,https://www.ereplacementparts.com/parts/refrigerator/general-electric/erp3650657/bottom-pan-cover-wr32x10885/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,refrigerator,Frigidaire,241860803,Ice Container And Auger Assembly,https://www.ereplacementparts.com/parts/refrigerator/frigidaire/erp1991430/ice-container-and-auger-assembly-241860803/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,washer,Whirlpool,W10622692,Hose,https://www.ereplacementparts.com/parts/washer/whirlpool/erp10059854/hose-w10622692/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,washer,Whirlpool,W10630507,Control Panel,https://www.ereplacementparts.com/parts/washer/whirlpool/erp9493516/control-panel-w10630507/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,washer,Whirlpool,WP8182415,Water Pump,https://www.ereplacementparts.com/parts/washer/whirlpool/erp11744991/water-pump-wp8182415/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,washer,Whirlpool,285744,Tub Wear Pads Package Of 3,https://www.ereplacementparts.com/parts/washer/whirlpool/erp334620/tub-wear-pads-package-of-3-285744/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,washer,Bosch,00422182,Hook,https://www.ereplacementparts.com/parts/washer/bosch/erp8713199/hook-00422182/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dryer,Frigidaire,134101400,Terminal Block Kit,https://www.ereplacementparts.com/parts/dryer/frigidaire/erp419369/terminal-block-kit-134101400/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dryer,Whirlpool,WP3406725,Dryer Timer 60 Hz,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11741713/dryer-timer-60-hz-wp3406725/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dryer,Whirlpool,WPW10359272,Drum Support Shaft Rear Shaft With Left Hand Threads Wpw10359272,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11753708/drum-support-shaft-rear-shaft-with-left-hand-threads-wpw10359272-wpw10359272/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dryer,Whirlpool,WP3388703,Support,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11741428/support-wp3388703/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,dryer,General Electric,WE1M929,Door Hinge Cover,https://www.ereplacementparts.com/parts/dryer/general-electric/erp3487111/door-hinge-cover-we1m929/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,angle-grinder,DeWalt,N097361,Gear,https://www.ereplacementparts.com/parts/angle-grinder/dewalt/erp10188357/gear-n097361/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,angle-grinder,DeWalt,N149169,Name Plate,https://www.ereplacementparts.com/parts/angle-grinder/dewalt/erp10188761/name-plate-n149169/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,angle-grinder,Ridgid,513101001,Brush Holder,https://www.ereplacementparts.com/parts/angle-grinder/ridgid/erp10097976/brush-holder-513101001/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,angle-grinder,Makita,CB408,Carbon Brush Set,https://www.ereplacementparts.com/parts/angle-grinder/makita/erp10156657/carbon-brush-set-cb408/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,angle-grinder,DeWalt,N097696,Carbon Brush,https://www.ereplacementparts.com/parts/angle-grinder/dewalt/erp10188358/carbon-brush-n097696/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,electric-drill,Ridgid,611362001,Pawl Feed Smf5040,https://www.ereplacementparts.com/parts/electric-drill/ridgid/erp10082644/pawl-feed-smf5040-611362001/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,electric-drill,Black & Decker,90500906,Charger,https://www.ereplacementparts.com/parts/electric-drill/black-and-decker/erp10185334/charger-90500906/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,electric-drill,Makita,CB407,Carbon Brush Set,https://www.ereplacementparts.com/parts/electric-drill/makita/erp10156656/carbon-brush-set-cb407/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,electric-drill,Black & Decker,N031655,Brush And Spring,https://www.ereplacementparts.com/parts/electric-drill/black-and-decker/erp10187403/brush-and-spring-n031655/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,electric-drill,Ridgid,560989001,Chuck Key Holder,https://www.ereplacementparts.com/parts/electric-drill/ridgid/erp10082022/chuck-key-holder-560989001/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,miter-saw,DeWalt,N095340,Cord,https://www.ereplacementparts.com/parts/miter-saw/dewalt/erp10188337/cord-n095340/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,miter-saw,DeWalt,N039404,Torsion Spring,https://www.ereplacementparts.com/parts/miter-saw/dewalt/erp10187576/torsion-spring-n039404/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,miter-saw,Ryobi,089240003040,Bevel Knob,https://www.ereplacementparts.com/parts/miter-saw/ryobi/erp10078692/bevel-knob-089240003040/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,miter-saw,DeWalt,DW7232,Support And Stop Kit,https://www.ereplacementparts.com/parts/miter-saw/dewalt/erp10186870/support-and-stop-kit-dw7232/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,miter-saw,DeWalt,N014058,Cam Shaft,https://www.ereplacementparts.com/parts/miter-saw/dewalt/erp10187060/cam-shaft-n014058/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,circular-saw,Ryobi,634295001,E Ring Bowed,https://www.ereplacementparts.com/parts/circular-saw/ryobi/erp10083190/e-ring-bowed-634295001/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,circular-saw,Ryobi,301124015,Assembly Bevel Adj Knob,https://www.ereplacementparts.com/parts/circular-saw/ryobi/erp10080530/assembly-bevel-adj-knob-301124015/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,circular-saw,DeWalt,N094953,Guard Lever,https://www.ereplacementparts.com/parts/circular-saw/dewalt/erp10188333/guard-lever-n094953/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,circular-saw,DeWalt,N046088,Retaining Ring,https://www.ereplacementparts.com/parts/circular-saw/dewalt/erp10187754/retaining-ring-n046088/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,circular-saw,DeWalt,N237899,Gear Case Assy,https://www.ereplacementparts.com/parts/circular-saw/dewalt/erp10189005/gear-case-assy-n237899/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,pressure-washer,DeWalt,A03525,Cap Oil Filler Cat 5,https://www.ereplacementparts.com/parts/pressure-washer/dewalt/erp10039246/cap-oil-filler-cat-5-a03525/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,pressure-washer,Ryobi,561383021,Nozzle Grommet,https://www.ereplacementparts.com/parts/pressure-washer/ryobi/erp9980313/nozzle-grommet-561383021/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,pressure-washer,Ridgid,308760037,Trigger Handle Assembly,https://www.ereplacementparts.com/parts/pressure-washer/ridgid/erp9938463/trigger-handle-assembly-308760037/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,pressure-washer,Ryobi,310448004,5 In 1 Change Over Nozzle,https://www.ereplacementparts.com/parts/pressure-washer/ryobi/erp9939068/5-in-1-change-over-nozzle-310448004/,2026-08-15,manufacturer part number in sitemap product URL
tool,eReplacementParts,pressure-washer,Ryobi,310870002,Pressure Switch,https://www.ereplacementparts.com/parts/pressure-washer/ryobi/erp9939443/pressure-switch-310870002/,2026-08-15,manufacturer part number in sitemap product URL
appliance,eReplacementParts,upright-vacuum,Bosch,00187620,00 Spring,https://www.ereplacementparts.com/parts/upright-vacuum/bosch/erp8698211/00-spring-00187620/,2026-08-15,manufacturer part number in sitemap product URL
