cohort,source_category,brand,mpn,title,source_url,source_verified_at,source_price_usd,source_stock,source_shipping_usd,source_shipping_status,acquisition_floor_usd,sold_median_usd,sold_p25_usd,sold_count_90d,sold_latest_date,sold_evidence_status,active_coherent_depth,active_p25_usd,conservative_exit_proxy_usd,gross_spread_pre_cost_usd,usd_to_gbp,gross_spread_pre_cost_gbp,gross_margin_pre_cost_pct,net_contribution_upper_bound_gbp,expected_ebay_fee_usd,outbound_shipping_usd,return_allowance_usd,net_contribution_gbp,contribution_margin_pct,expected_monthly_unit_velocity,expected_monthly_contribution_gbp,economics_status,unresolved_inputs
appliance,dishwasher,Frigidaire,154773201,Float Switch,https://www.ereplacementparts.com/parts/dishwasher/frigidaire/erp3492842/float-switch-154773201/,2026-08-24T10:25:00Z,53.74,In Stock,,ADDRESS_QUOTE_REQUIRED,53.74,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,3,14.23,14.23,-39.51,0.73228,-28.93,-277.65,-28.93,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,dishwasher,Frigidaire,154825001,Heating Element,https://www.ereplacementparts.com/parts/dishwasher/frigidaire/erp3653449/heating-element-154825001/,2026-08-24T10:25:00Z,77.34,In Stock,,ADDRESS_QUOTE_REQUIRED,77.34,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,5,12.00,12.00,-65.34,0.73228,-47.85,-544.50,-47.85,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,refrigerator,Frigidaire,5303323480,Door Shelf End Cap Right Side,https://www.ereplacementparts.com/parts/refrigerator/frigidaire/erp467698/door-shelf-end-cap-right-side-5303323480/,2026-08-24T10:25:00Z,26.35,Special Order,,ADDRESS_QUOTE_REQUIRED,26.35,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,5,5.00,5.00,-21.35,0.73228,-15.63,-427.00,-15.63,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,refrigerator,Whirlpool,WPW10318952,Wire Shelf,https://www.ereplacementparts.com/parts/refrigerator/whirlpool/erp11752739/wire-shelf-wpw10318952/,2026-08-24T10:25:00Z,71.45,In Stock,,ADDRESS_QUOTE_REQUIRED,71.45,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,4,46.95,46.95,-24.50,0.73228,-17.94,-52.18,-17.94,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,refrigerator,General Electric,WR32X10885,Bottom Pan Cover,https://www.ereplacementparts.com/parts/refrigerator/general-electric/erp3650657/bottom-pan-cover-wr32x10885/,2026-08-24T10:25:00Z,93.76,In Stock,,ADDRESS_QUOTE_REQUIRED,93.76,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,8,83.08,83.08,-10.68,0.73228,-7.82,-12.86,-7.82,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,washer,Whirlpool,285744,Tub Wear Pads Package Of 3,https://www.ereplacementparts.com/parts/washer/whirlpool/erp334620/tub-wear-pads-package-of-3-285744/,2026-08-24T10:25:00Z,12.95,In Stock,,ADDRESS_QUOTE_REQUIRED,12.95,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,4,9.99,9.99,-2.96,0.73228,-2.17,-29.63,-2.17,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,dryer,Frigidaire,134101400,Terminal Block Kit,https://www.ereplacementparts.com/parts/dryer/frigidaire/erp419369/terminal-block-kit-134101400/,2026-08-24T10:25:00Z,59.35,In Stock,,ADDRESS_QUOTE_REQUIRED,59.35,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,5,30.00,30.00,-29.35,0.73228,-21.49,-97.83,-21.49,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,dryer,Whirlpool,WP3406725,Dryer Timer 60 Hz,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11741713/dryer-timer-60-hz-wp3406725/,2026-08-24T10:25:00Z,201.07,In Stock,,ADDRESS_QUOTE_REQUIRED,201.07,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,5,124.95,124.95,-76.12,0.73228,-55.74,-60.92,-55.74,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,dryer,Whirlpool,WPW10359272,Drum Support Shaft Rear Shaft With Left Hand Threads Wpw10359272,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11753708/drum-support-shaft-rear-shaft-with-left-hand-threads-wpw10359272-wpw10359272/,2026-08-24T10:25:00Z,51.47,In Stock,,ADDRESS_QUOTE_REQUIRED,51.47,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,8,22.98,22.98,-28.49,0.73228,-20.86,-123.98,-20.86,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
appliance,dryer,Whirlpool,WP3388703,Support,https://www.ereplacementparts.com/parts/dryer/whirlpool/erp11741428/support-wp3388703/,2026-08-24T10:25:00Z,10.94,In Stock,,ADDRESS_QUOTE_REQUIRED,10.94,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,6,5.36,5.36,-5.58,0.73228,-4.09,-104.10,-4.09,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,angle-grinder,DeWalt,N097361,Gear,https://www.ereplacementparts.com/parts/angle-grinder/dewalt/erp10188357/gear-n097361/,2026-08-24T10:25:00Z,8.73,In Stock,,ADDRESS_QUOTE_REQUIRED,8.73,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,3,15.27,15.27,6.54,0.73228,4.79,42.83,4.79,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,angle-grinder,DeWalt,N097696,Carbon Brush,https://www.ereplacementparts.com/parts/angle-grinder/dewalt/erp10188358/carbon-brush-n097696/,2026-08-24T10:25:00Z,6.16,In Stock,,ADDRESS_QUOTE_REQUIRED,6.16,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,4,6.50,6.50,0.34,0.73228,0.25,5.23,0.25,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,electric-drill,Makita,CB407,Carbon Brush Set,https://www.ereplacementparts.com/parts/electric-drill/makita/erp10156656/carbon-brush-set-cb407/,2026-08-24T10:25:00Z,19.19,In Stock,,ADDRESS_QUOTE_REQUIRED,19.19,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,6,13.79,13.79,-5.40,0.73228,-3.95,-39.16,-3.95,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,electric-drill,Black & Decker,N031655,Brush And Spring,https://www.ereplacementparts.com/parts/electric-drill/black-and-decker/erp10187403/brush-and-spring-n031655/,2026-08-24T10:25:00Z,28.20,In Stock,,ADDRESS_QUOTE_REQUIRED,28.20,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,4,14.45,14.45,-13.75,0.73228,-10.07,-95.16,-10.07,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,miter-saw,DeWalt,N039404,Torsion Spring,https://www.ereplacementparts.com/parts/miter-saw/dewalt/erp10187576/torsion-spring-n039404/,2026-08-24T10:25:00Z,37.12,In Stock,,ADDRESS_QUOTE_REQUIRED,37.12,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,6,28.49,28.49,-8.63,0.73228,-6.32,-30.29,-6.32,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
tool,pressure-washer,Ridgid,308760037,Trigger Handle Assembly,https://www.ereplacementparts.com/parts/pressure-washer/ridgid/erp9938463/trigger-handle-assembly-308760037/,2026-08-24T10:25:00Z,100.71,In Stock,,ADDRESS_QUOTE_REQUIRED,100.71,,,,,UNAVAILABLE_EBAY_AUTH_REQUIRED,3,88.45,88.45,-12.26,0.73228,-8.98,-13.86,-8.98,,,,,,,,REJECT_PRE_COST_SPREAD_BELOW_15_GBP,exact_sold_rows;sold_velocity;source_shipping_quote;outbound_weight_and_postage;ebay_us_seller_fee;return_allowance
