source,lot_id,lot_url,lot_ask_price_usd,lot_units,lot_condition,manifest_accuracy_risk_pct,line_manufacturer,line_model,line_condition,line_upc,line_quantity,line_retail_price_usd,frozen_brand,frozen_mpn,identity_status,audited_at
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Midea,MIWF8200,Open Box Like New,840296504994,1,42.39,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Sharp Electronics,SKM427F9HS,Used,074000621916,2,329.99,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Broan,HARKPM21,Used,026715268108,1,108.95,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Midea,IM1900MD,Used,810040945199,1,86.93,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Broan-NuTone,BBN1303SS,Used,026715267644,1,339.00,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,SHARP,SKM430F9HS,Used,074000621923,2,349.99,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Panasonic,NN-TK621SS,Used,885170064348,1,289.95,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Lasko Metal Products,507,Untested Customer Returns,046013353191,1,15.88,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Panasonic,NN-SN686S,Untested Customer Returns,885170282919,6,174.95,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
Direct Liquidation,944526,https://www.directliquidation.com/p/944526-1-pallet-24-pcs-accessories-kitchen-and-dining-fans-untested-customer-returns-panasonic-midea-sharp-electronics-broan/944526,1080.30,24,Mixed,15,Broan,413001,Untested Customer Returns,026715002306,1,82.69,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T11:19:01Z
