model,manufacturers,titles,categories,upcs,valid_gtins,lot_count,manifest_line_count,total_quantity,conditions,first_seen_at
002-16-0086,SALAV,"SALAV 002-16-0086 GS45-DJ Professional Garment Steamer, 1500W Power, 1.8L Water Tank, Silver",Home -> Appliances -> Major Appliances -> Laundry,850002007169,850002007169,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
1820,Lasko,"Lasko 1820 Performance Adjustable Oscillating Pedestal Fan, 18-Inch, White",Home -> Heating & Cooling -> Fans,046013402202,046013402202,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
1885,Lasko,"Lasko1885 Cyclone Pedestal Fan with remote control,White",Home -> Heating & Cooling -> Fans,046013436757,046013436757,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
2521,Lasko Metal Products,Lasko Metal Products 2521 Stand Fan Oscillating 3 Speed Black 16 Inches,Home -> Heating & Cooling -> Fans,046013323606,046013323606,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
413001,Broan,"Broan 413001 ADA Capable Non-Ducted Under-Cabinet Range Hood, 30-Inch, White",Home -> Appliances -> Major Appliances -> Ovens / Ranges,026715002306,026715002306,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
507,Lasko Metal Products,"Lasko 507 10-Inch Breeze Machine Floor or Table Fan, Black",Home -> Heating & Cooling -> Fans,046013353191,046013353191,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
5830-6940-BLUE,Whitmor,Whitmor 5830-6940-BLUE Compact 4-Leg Metal Mesh Top Ironing Board W/Padded Blue Cover,Home -> Cleaning Supplies,038861696384,038861696384,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
59088,Haunted Hill / Tekky,Soul Sucker,Party & Occasions -> Decorations & Favors,R1N000000X7EV1,,1,1,1,Open Box Like New,2026-08-24T11:30:38Z
6037-7037-WHT-SIOC,Whitmor,WHITMOR 6037-7037-WHT-SIOC White 36-Pair Over The Door Shoe Organizer,Home -> Storage & Organization,038861698210,038861698210,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
98409-GRANNY1-FLSA,Haunted Hill / Tekky,Haunted Hill / Tekky Animated Gravely Granny,Party & Occasions -> Decorations & Favors,R1N00000105RE1,,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
BBN1303SS,Broan-NuTone,"Broan-NuTone BBN1303SS 30"" 300 Max Blower CFM Built-In Powerpack Insert Range Hood, Stainless Steel",Home -> Appliances -> Accessories,026715267644,026715267644,1,1,1,Used,2026-08-24T11:30:38Z
CFU14N6AWE,HISENSE,"Hisense 13.6 CU.FT. Upright Freezer with Convertible Freezer Fridge, No Frost Technology, ENERGY STAR Certified, Touch Control Panel, Door Alarm, CFU14N6AWE",Home -> Appliances -> Major Appliances -> Freezers,810088364921,810088364921,1,1,1,Used,2026-08-24T11:30:38Z
DLEX4080B,LG,LG DLEX4080B 7.4 cu. ft. Smart Front Load ENERGY STAR Electric Dryer with Sensor Dry & Steam Technology,Home -> Appliances -> Major Appliances -> Laundry,737566177524,737566177524,1,1,2,Used,2026-08-24T11:30:38Z
DLG7001W,LG ELECTRONICS APPLIANCE,LG - 7.3 Cu. Ft. Gas Dryer with Sensor Dry - White,Home -> Appliances -> Major Appliances -> Laundry,195174004135,195174004135,1,1,1,Used,2026-08-24T11:30:38Z
DLGX6501B,LG,"LG DLGX6501B 7.4 Cu. Ft. Stackable Smart Gas Dryer w/Steam & Sensor Dry, Black Steel",Home -> Appliances -> Major Appliances -> Laundry,195174052969,195174052969,1,1,1,Used,2026-08-24T11:30:38Z
DLHF0817EC2,Crossover,Crossover DLHF0817EC2 2.0 27 Inch Electric Single Pocket Dryer with 7 cu. ft. Capacity,Home -> Appliances -> Major Appliances -> Laundry,856013006504,856013006504,1,1,1,Used,2026-08-24T11:30:38Z
DLHS0817EC2,Laundrylux,Laundrylux DLHS0817EC2 27 Inch Front Load Commercial Electric Dryer with 7.0 Cu. Ft. Capacity,Home -> Appliances -> Major Appliances -> Laundry,856013006511,856013006511,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
DVE41A3000W/A3,Samsung,"Samsung 7.2 Cu. Ft. Electric Dryer with Sensor Dry, 8 Preset Cycles, Reversible Door, White, DVE41A3000W/A3",Home -> Appliances -> Major Appliances -> Laundry,887276502007,887276502007,1,1,1,Used,2026-08-24T11:30:38Z
DVE45T6000V,Samsung,"Samsung 7.5 Cu. Ft. Stackable Electric Dryer with Sensor Dry, Smart Care, Reversible Door, Interior Drum Light, Black Stainless Steel, DVE45T6000V",Home -> Appliances -> Major Appliances -> Laundry,887276439419,887276439419,1,1,1,Used,2026-08-24T11:30:38Z
DVG53BB8900DA3,Samsung Electronics,BESPOKE 7.6 CU. FT. ULTRA CAPACITY GAS DRYER WITH AI OPTIMAL DRY AND SUPER SPEED DRY,Unsorted,887276657318,887276657318,1,1,1,Used,2026-08-24T11:30:38Z
FFUE2024AW,Frigidaire,"Frigidaire FFUE2024AW Ffue2024a 33"" Wide 20 Cu. Ft. Free Standing Energy Star Upright Full Size",Home -> Appliances -> Major Appliances -> Freezers,012505648427,012505648427,1,1,1,Used,2026-08-24T11:30:38Z
FHTC123WB2,FRIGIDAIRE CO (ELECTROLUX),12000 BTU THROUGH THE WALL AIR CONDITIONER 208/230 V,Unsorted,R1N00000157QW6,,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
FHTE143WA2,Frigidaire,"Frigidaire Wall-Mounted Room Air Conditioner with 14,000 BTU Cooling and 10,600 BTU Supplemental Heater, Programmable Timer, Multi-Speed Fan, Remote Control, White, FHTE143WA2",Home -> Heating & Cooling -> Air Conditioners,012505285080,012505285080,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
FHWC103TC1,FRIGIDAIRE CO (ELECTROLUX),"10,000 BTU WINDOW ROOM AIR CONDITIONER - WHITE",Unsorted,012505285271,012505285271,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
G.00248,Playseat,Playseat G.00248 Challenge X - Logitech G Edition,Electronics -> Video Games -> Accessories -> Chairs,8717496872791,8717496872791,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
GMOS1964AF,Frigidaire,FRIGIDAIRE GMOS1964AF Over the Range Microwave,Home -> Appliances -> Small Appliances -> Microwaves,012505566608,012505566608,1,1,1,Used,2026-08-24T11:30:38Z
GRFC2353AD,Frigidaire,Frigidaire GRFC2353AD Gallery 22.6 Cu. Ft. Counter-Depth French Door Refrigerator - Black Stainless Steel,Home -> Appliances -> Major Appliances -> Refrigerators,012505648106,012505648106,1,1,1,Used,2026-08-24T11:30:38Z
HARKPM21,Broan,Broan HARKPM21 Optional Non-Duct Kit for Broan PM Powerpack Insert Series,Home -> Heating & Cooling -> Accessories,026715268108,026715268108,1,1,1,Used,2026-08-24T11:30:38Z
HFU101N1AVE,HISENSE,Hisense HFU101N1AVE 10.2 cu ft Convertible Upright Refrigerator Freezer,Home -> Appliances -> Major Appliances -> Freezers,810088369797,810088369797,2,2,3,Used,2026-08-24T11:30:38Z
HHSOULHARVSTR-1FLSA,FRASHT,"Frasht Haunted Hill Farm 7-Ft Animatronic Soul Harvester Halloween Prop with Motion and Sound Activation, LED Lights, Fog Effects, Battery Powered",Party & Occasions -> Decorations & Favors,840148736115,840148736115,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
IDKT2B902,XKITCHEN,XKITCHEN IDKT2B902 12 in 2 Elements Smooth Ceramic Cooktop,Home -> Appliances -> Major Appliances -> Ovens / Ranges,661858025890,661858025890,1,1,1,Untested Customer Returns,2026-08-24T11:30:38Z
IM1900MD,Midea,Midea IM1900MD Ice Maker Kit for Bottom Mount Refrigerators,Home -> Appliances -> Accessories,810040945199,810040945199,1,1,1,Used,2026-08-24T11:30:38Z
KDTM405PPS,KitchenAid,"KitchenAid KDTM405PPS 24"" Fully Integrated Built in Dishwasher",Home -> Appliances -> Major Appliances -> Dishwashers,883049680316,883049680316,1,1,1,Used,2026-08-24T11:30:38Z
LDGL6924S,LG,"lg LDGL6924S 6.9 CF / 30"" Double Gas Range, ProBake Convection, Air Sious Vide",Home -> Appliances -> Major Appliances -> Ovens / Ranges,048231344159,048231344159,1,1,1,Used,2026-08-24T11:30:38Z
