source_verified_at,brand,mpn,source_price_usd,source_stock,source_shipping_usd,source_shipping_status
2026-08-24T10:25:00Z,Frigidaire,154773201,53.74,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Frigidaire,154825001,77.34,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Frigidaire,5303323480,26.35,Special Order,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Whirlpool,WPW10318952,71.45,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,General Electric,WR32X10885,93.76,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Whirlpool,285744,12.95,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Frigidaire,134101400,59.35,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Whirlpool,WP3406725,201.07,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Whirlpool,WPW10359272,51.47,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Whirlpool,WP3388703,10.94,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,DeWalt,N097361,8.73,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,DeWalt,N097696,6.16,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Makita,CB407,19.19,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Black & Decker,N031655,28.20,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,DeWalt,N039404,37.12,In Stock,,ADDRESS_QUOTE_REQUIRED
2026-08-24T10:25:00Z,Ridgid,308760037,100.71,In Stock,,ADDRESS_QUOTE_REQUIRED
