id,candidate,sku,product_type,source_url,source_condition,source_currency,source_price,source_gbp,source_discount_pct,source_cycles,market_query,sold_search_url,exact_model,condition_match,manual_sold_median_gbp,manual_sold_90d,estimated_cm_gbp,estimated_cm_pct,verification_minutes,verdict,notes
1,Micro Clutch | L-plate | PD Certified / Micro (Mirrorless) / L-Plate / PD Certified,MC-L-1A,Camera Straps,https://peakdesign.com/products/microclutch-plate-lplate-pd-certified?variant=42770697551949,certified_refurbished,USD,9.95,7.29,81.9,0,Peak Design PD Certified Micro Mirrorless L-Plate certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Micro+Mirrorless+L-Plate+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
2,Micro Clutch | I-plate | PD Certified / Micro (Mirrorless) / I-Plate / PD Certified,MC-S-1A,Camera Straps,https://peakdesign.com/products/microclutch-plate-iplate-pd-certified?variant=42770697519181,certified_refurbished,USD,9.95,7.29,81.9,0,Peak Design PD Certified Micro Mirrorless I-Plate certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Micro+Mirrorless+I-Plate+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
3,Yeti 1500X (OPEN BOX) / Default Title,36300R,Portable Power Station,https://goalzero.com/products/yeti-1500x-open-box?variant=42316564037801,open_box,USD,974.97,713.95,35.0,0,Goal Zero Yeti 1500X OPEN BOX open box,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+1500X+OPEN+BOX+open+box&LH_Sold=1&LH_Complete=1,,,,,,,,,
4,Yeti 700 (OPEN BOX) / Default Title,37100R,Portable Power Station,https://goalzero.com/products/yeti-700-open-box?variant=45061066457257,open_box,USD,454.97,333.17,35.0,0,Goal Zero Yeti 700 OPEN BOX open box,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+700+OPEN+BOX+open+box&LH_Sold=1&LH_Complete=1,,,,,,,,,
5,Yeti 500X (OPEN BOX) / Default Title,36100R,Portable Power Station,https://goalzero.com/products/yeti-500x-open-box?variant=42316557418665,open_box,USD,324.97,237.97,35.0,0,Goal Zero Yeti 500X OPEN BOX open box,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+500X+OPEN+BOX+open+box&LH_Sold=1&LH_Complete=1,,,,,,,,,
6,Skylight (OPEN BOX) / Default Title,32015R,,https://goalzero.com/products/skylight-open-box?variant=47293747396777,open_box,USD,259.97,190.37,35.0,0,Goal Zero Skylight OPEN BOX open box,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Skylight+OPEN+BOX+open+box&LH_Sold=1&LH_Complete=1,,,,,,,,,
7,Yeti 200X (OPEN BOX) / Default Title,22070R,,https://goalzero.com/products/yeti-200x-open-box?variant=42316551356585,open_box,USD,142.97,104.69,35.0,0,Goal Zero Yeti 200X OPEN BOX open box,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+200X+OPEN+BOX+open+box&LH_Sold=1&LH_Complete=1,,,,,,,,,
8,Mobile Wallet | Stand Wallet | Midnight | Fabric | PD Certified / Midnight / Fabric / PD Certified,M-WA-AB-MN-1A,Mobile,https://peakdesign.com/products/mobile-wallet-stand-wallet-midnight-fabric-pd-certified?variant=42770714493005,certified_refurbished,USD,40.46,29.63,32.5,0,Peak Design PD Certified Midnight Fabric certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Midnight+Fabric+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
9,Everyday Sling | 10L | Ash (PFAS) | PD Certified / 10L / Ash / PD Certified,BEDS-10-AS-2A,Bags,https://peakdesign.com/products/everyday-sling-10l-ash-pd-certified?variant=42770714067021,certified_refurbished,USD,122.36,89.60,28.0,0,Peak Design PD Certified 10L Ash certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+10L+Ash+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
10,Everyday Messenger | 13L | Ash (PFAS) | PD Certified / 13L / Ash / PD Certified,BEDM-13-AS-2A,Bags,https://peakdesign.com/products/everyday-messenger-13l-ash-pd-certified?variant=42770714558541,certified_refurbished,USD,179.96,131.78,28.0,0,Peak Design PD Certified 13L Ash certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+13L+Ash+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
11,Everyday Sling | 3L | Black | Factory 2nd / 3L / Black / Factory 2nd,BEDS-3-BK-3B,Bags,https://peakdesign.com/products/everyday-sling-3l-black-factory-2nd?variant=41875286261837,factory_second,USD,79.96,58.55,20.0,0,Peak Design Factory 2nd 3L Black factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+3L+Black+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
12,Everyday Sling | 6L | Black | Factory 2nd / 6L / Black / Factory 2nd,BEDS-6-BK-3B,Bags,https://peakdesign.com/products/everyday-sling-6l-black-factory-2nd?variant=41875287507021,factory_second,USD,103.96,76.13,20.0,0,Peak Design Factory 2nd 6L Black factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+6L+Black+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
13,Everyday Backpack Zip | 15L | Ash | Factory 2nd / 15L / Ash / Factory 2nd,BEDBZ-15-AS-3B,Bags,https://peakdesign.com/products/everyday-backpack-zip-15l-ash-factory-2nd?variant=41875285868621,factory_second,USD,159.96,117.14,20.0,0,Peak Design Factory 2nd 15L Ash factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+15L+Ash+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
14,Everyday Backpack Zip | 15L | Black | Factory 2nd / 15L / Black / Factory 2nd,BEDBZ-15-BK-3B,Bags,https://peakdesign.com/products/everyday-backpack-zip-15l-black-v1-factory-2nd?variant=41875286065229,factory_second,USD,159.96,117.14,20.0,0,Peak Design Factory 2nd 15L Black factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+15L+Black+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
15,Everyday Backpack Zip | 15L | Midnight | Factory 2nd / 15L / Midnight / Factory 2nd,BEDBZ-15-MN-3B,Bags,https://peakdesign.com/products/everyday-backpack-zip-15l-midnight-v1-factory-2nd?variant=41875285409869,factory_second,USD,159.96,117.14,20.0,0,Peak Design Factory 2nd 15L Midnight factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+15L+Midnight+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
16,Everyday Backpack Zip | 20L | Ash | Factory 2nd / 20L / Ash / Factory 2nd,BEDBZ-20-AS-3B,Bags,https://peakdesign.com/products/everyday-backpack-zip-20l-ash-factory-2nd?variant=41875285672013,factory_second,USD,183.96,134.71,20.0,0,Peak Design Factory 2nd 20L Ash factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+20L+Ash+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
17,Everyday Backpack Zip | 20L | Black | Factory 2nd / 20L / Black / Factory 2nd,BEDBZ-20-BK-3B,Bags,https://peakdesign.com/products/everyday-backpack-zip-20l-black-factory-2nd?variant=41875287343181,factory_second,USD,183.96,134.71,20.0,0,Peak Design Factory 2nd 20L Black factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+20L+Black+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
18,Everyday Backpack | 20L | Midnight | Factory 2nd / 20L / Midnight / Factory 2nd,BEDB-20-MN-3B,Bags,https://peakdesign.com/products/everyday-backpack-20l-midnight-factory-2nd?variant=41875285278797,factory_second,USD,223.96,164.00,20.0,0,Peak Design Factory 2nd 20L Midnight factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+20L+Midnight+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
19,Everyday Sling | 10L | Black | Factory 2nd / 10L / Black / Factory 2nd,BEDS-10-BK-3B,Bags,https://peakdesign.com/products/everyday-sling-10l-black-factory-2nd?variant=41875285999693,factory_second,USD,135.96,99.56,20.0,0,Peak Design Factory 2nd 10L Black factory second,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+10L+Black+factory+second&LH_Sold=1&LH_Complete=1,,,,,,,,,
20,Paint Transfer & Scratch Removal Kit / Default Title,VIR541,Kits>Starter Kits,https://chemicalguys.com/products/paint-transfer-scratch-removal-kit?variant=52151567384881,cosmetic_damage,USD,55.99,41.00,11.1,0,Chemical Guys Paint Transfer Scratch Removal Kit cosmetic damage,https://www.ebay.co.uk/sch/i.html?_nkw=Chemical+Guys+Paint+Transfer+Scratch+Removal+Kit+cosmetic+damage&LH_Sold=1&LH_Complete=1,,,,,,,,,
21,TORQ10FX Random Orbital Polisher Kit One-Step Scratch and Swirl Remover Kit (8 Items) / Default Title,BUF613,Kits>Polishing Kits,https://chemicalguys.com/products/torq10fx-random-orbital-polisher-kit-one-step-scratch-and-swirl-remover-kit-8-items?variant=46529738244401,cosmetic_damage,USD,259.99,190.39,10.3,0,TORQ TORQ10FX Random Orbital Polisher Kit One-Step cosmetic damage,https://www.ebay.co.uk/sch/i.html?_nkw=TORQ+TORQ10FX+Random+Orbital+Polisher+Kit+One-Step+cosmetic+damage&LH_Sold=1&LH_Complete=1,,,,,,,,,
22,Everyday Sling | 3L | Ash | PD Certified / 3L / Ash / PD Certified,BEDS-3-AS-2A,Bags,https://peakdesign.com/products/everyday-sling-3l-ash-v1-pd-certified?variant=41875284820045,certified_refurbished,USD,62.96,46.10,10.0,0,Peak Design PD Certified 3L Ash certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+3L+Ash+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
23,Everyday Sling | 6L | Ash (PFAS) | PD Certified / 6L / Ash / PD Certified,BEDS-6-AS-2A,Bags,https://peakdesign.com/products/everyday-sling-6l-ash-v1-pd-certified?variant=42770716229709,certified_refurbished,USD,81.86,59.94,10.0,0,Peak Design PD Certified 6L Ash certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+6L+Ash+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
24,Travel Tripod | Aluminum | PD Certified / Aluminum / PD Certified,TT-CB-5-150-AL-1A,Tripods,https://peakdesign.com/products/travel-tripod-aluminum-pd-certified?variant=42770712461389,certified_refurbished,USD,359.96,263.59,10.0,0,Peak Design PD Certified Aluminum certified refurbished,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Aluminum+certified+refurbished&LH_Sold=1&LH_Complete=1,,,,,,,,,
