product,variant,condition_src,price_gbp,sku,handle,url
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 1TB,Graphite / Excellent Condition,Excellent Condition,1043.99,GTABS9UWC-1TB-GP-MI,samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb?variant=55589783404920
iPhone 17 Pro 256GB,Cosmic Orange / Pristine / Standard Battery,Standard Battery,1030.41,IP17P-256GB-CO-LN,apple-iphone-17-pro-256gb,https://www.reboxed.co/products/apple-iphone-17-pro-256gb?variant=55288583651704
Galaxy Z Fold7 5G 1TB,Jetblack / Great Condition,Great Condition,1015.2,SSFO7-1TB-BLK-GR,samsung-galaxy-z-fold7-5g-1tb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-1tb?variant=55445280194936
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 1TB,Graphite / Great Condition,Great Condition,985.99,GTABS9UWC-1TB-GP-GR,samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb?variant=55589783535992
Galaxy Z Fold7 5G 512GB,Blue Shadow / Great Condition,Great Condition,979.56,SSFO7-512GB-BLU-GR,samsung-galaxy-z-fold7-5g-512gb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-512gb?variant=55445296677240
"Refurbished MacBook Pro 16"" M1 Pro 2021 16GB/1TB",Space Grey / Good Condition,Good Condition,967.02,MBP16-M1PRO-10C16G-16-1TB-SG-2021-FA,apple-macbook-pro-16-inch-m1-pro-2021-1tb,https://www.reboxed.co/products/apple-macbook-pro-16-inch-m1-pro-2021-1tb?variant=55634400641400
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 512GB,Graphite / Excellent Condition,Excellent Condition,951.99,GTABS9UWC-512GB-GP-MI,samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb?variant=55589783994744
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 1TB,Graphite / Good Condition,Good Condition,939.59,GTABS9UWC-1TB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-1tb?variant=55589783437688
Galaxy Z Fold7 5G 1TB,Jetblack / Good Condition,Good Condition,915.84,SSFO7-1TB-BLK-FA,samsung-galaxy-z-fold7-5g-1tb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-1tb?variant=55445287272824
"Refurbished MacBook Air 13"" M1 2020 16GB/2TB",Silver / Excellent Condition,Excellent Condition,915.8,MBA13-M1-8C8G-16-2TB-SIL-2020-PR,apple-macbook-air-13-inch-m1-2020-2tb,https://www.reboxed.co/products/apple-macbook-air-13-inch-m1-2020-2tb?variant=55634416501112
Galaxy Z Fold7 5G 512GB,Blue Shadow / Good Condition,Good Condition,909.36,SSFO7-512GB-BLU-FA,samsung-galaxy-z-fold7-5g-512gb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-512gb?variant=55445283438968
Samsung Galaxy Tab S10 Ultra WiFi 512GB,Platinum Silver / Excellent Condition,Excellent Condition,904.79,GTABSS10-ULTRAW-512GB-PS-MI,samsung-galaxy-tab-s10-ultra-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-512gb?variant=55589803000184
Samsung Galaxy Tab S10 Ultra WiFi + Cellular 512GB,Moonstone Grey / Excellent Condition,Excellent Condition,886.43,GTABSS10-ULTRAWC-512GB-MG-MI,samsung-galaxy-tab-s10-ultra-wifi-cellular-512gb-1,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-cellular-512gb-1?variant=55589805752696
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 512GB,Graphite / Good Condition,Good Condition,873.59,GTABS9UWC-512GB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-512gb?variant=55589783896440
Galaxy S25 Ultra 1TB,Titanium Whitesilver / Pristine,Pristine,864.6,SS25-1TB-TW-LN,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011804512632
Galaxy Z Fold7 5G 256GB,Jetblack / Good Condition,Good Condition,851.2,SSFO7-256GB-BLK-FA,samsung-galaxy-z-fold7-5g-256gb,https://www.reboxed.co/products/samsung-galaxy-z-fold7-5g-256gb?variant=55445281079672
iPhone 15 Pro 512GB,White Titanium / Excellent Condition / New Battery,New Battery,849.0,IP15P-512GB-WH-MI-NB,apple-iphone-15-pro-512gb,https://www.reboxed.co/products/apple-iphone-15-pro-512gb?variant=55597259719032
Galaxy Z Flip7 5G 512GB,Coralred / Good Condition,Good Condition,840.0,SSFL7-512GB-RED-FA,samsung-galaxy-z-flip7-5g-512gb,https://www.reboxed.co/products/samsung-galaxy-z-flip7-5g-512gb?variant=55445370929528
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Excellent Condition,Excellent Condition,839.99,GTABS9PWC-512GB-GP-MI,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771379064
Samsung Galaxy Tab S9 Ultra WiFi + Cellular 256GB,Graphite / Good Condition,Good Condition,795.19,GTABS9UWC-256GB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-cellular-256gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-cellular-256gb?variant=55589783765368
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Great Condition,Great Condition,795.19,GTABS9PWC-512GB-GP-GR,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771149688
Samsung Galaxy Tab S9 Ultra WiFi 1TB,Graphite / Good Condition,Good Condition,792.42,GTABS9UW-1TB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-1tb?variant=55589779079544
iPhone 15 Pro Max 512GB,White Titanium / Great Condition / New Battery,New Battery,789.0,IP15PM-512GB-WH-GR-NB,apple-iphone-15-pro-max-512gb,https://www.reboxed.co/products/apple-iphone-15-pro-max-512gb?variant=55597279707512
Samsung Galaxy Tab S10 Ultra WiFi 512GB,Moonstone Grey / Good Condition,Good Condition,788.79,GTABSS10-ULTRAW-512GB-MG-FA,samsung-galaxy-tab-s10-ultra-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-512gb?variant=55589802967416
iPhone 14 Pro Max 1TB,Gold / Good Condition / Standard Battery,Standard Battery,783.71,IP14PM-1TGB-GO-FA,apple-iphone-14-pro-max-1tb,https://www.reboxed.co/products/apple-iphone-14-pro-max-1tb?variant=45674220257511
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Good Condition,Good Condition,761.59,GTABS9PWC-512GB-GP-FA,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771215224
Galaxy S25 Ultra 1TB,Titanium Jetblack / Excellent Condition,Excellent Condition,759.97,SS25-1TB-TJBLK-MI,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011828629880
iPhone 15 Pro 256GB,Natural Titanium / Excellent Condition / New Battery,New Battery,759.0,IP15P-256GB-NT-MI-NB,apple-iphone-15-pro-256gb,https://www.reboxed.co/products/apple-iphone-15-pro-256gb?variant=55597253624184
Samsung Galaxy Tab S9 FE+ WiFi 256GB,Silver / Excellent Condition,Excellent Condition,739.19,GTABSS9-FE-PLUS-W-256GB-SI-MI,samsung-galaxy-tab-s9-fe-plus-wifi-256gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-fe-plus-wifi-256gb?variant=55589795987832
Samsung Galaxy Tab S10+ WiFi 512GB,Moonstone Grey / Excellent Condition,Excellent Condition,730.12,GTABSS10-PLUSW-512GB-MG-MI,samsung-galaxy-tab-s10-plus-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-plus-wifi-512gb?variant=55589799526776
Galaxy S25 Ultra 1TB,Titanium Silverblue / Great Condition,Great Condition,725.64,SS25-1TB-TS-GR,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011833708920
Samsung Galaxy Tab S9 Ultra WiFi 1TB,Graphite / Excellent Condition,Excellent Condition,717.92,GTABS9UW-1TB-GP-MI,samsung-galaxy-tab-s9-ultra-wifi-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-1tb?variant=55589779210616
iPhone 15 Pro Max 256GB,Black Titanium / Good Condition / New Battery,New Battery,709.0,IP15PM-256GB-BT-FA-NB,apple-iphone-15-pro-max-256gb,https://www.reboxed.co/products/apple-iphone-15-pro-max-256gb?variant=55597270729080
Galaxy S25 Ultra 512GB,Titanium Whitesilver / Pristine,Pristine,706.46,SS25-512-TW-LN,samsung-galaxy-s25-ultra-512gb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-512gb?variant=55011844555128
Galaxy S25 Ultra 1TB,Titanium Grey / Good Condition,Good Condition,700.0,SS25-1TB-TG-FA,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011813196152
iPhone 14 Pro 1TB,Deep Purple / Excellent Condition / New Battery,New Battery,686.37,IP14P-1TB-DP-MI-NB,apple-iphone-14-pro-1tb,https://www.reboxed.co/products/apple-iphone-14-pro-1tb?variant=55593183773048
Galaxy S25 Ultra 512GB,Titanium Jetblack / Excellent Condition,Excellent Condition,672.84,SS25-512-TJBLK-MI,samsung-galaxy-s25-ultra-512gb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-512gb?variant=55011843834232
Galaxy S25 Ultra 256GB,Titanium Pinkgold / Excellent Condition,Excellent Condition,672.0,SS25-256-TP-MI,samsung-galaxy-s25-ultra-256gb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-256gb?variant=55011828269432
Galaxy S25 Ultra 256GB,Titanium Jadegreen / Good Condition,Good Condition,672.0,SS25-256-TJGRN-FA,samsung-galaxy-s25-ultra-256gb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-256gb?variant=55011831185784
Samsung Galaxy Tab S10 Ultra WiFi 256GB,Moonstone Grey / Excellent Condition,Excellent Condition,669.85,GTABSS10-ULTRAW-256GB-MG-MI,samsung-galaxy-tab-s10-ultra-wifi-256gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-256gb?variant=55589802115448
