id,candidate,sku,source_url,source_cycles,source_restocks,source_depletions,cycles_per_30d,coverage,regional_gap,market_query,sold_search_url,exact_identity,market_current_stock,market_est_sold_qty,market_competitors,market_condition,estimated_cm_pct,verification_minutes,verdict,notes
1,Scholar Knit High-Waist My Serve Tennis Skirt - Pink Marshmallow/White / Pink Marshmallow/White / XXS,W6746R083010,https://www.aloyoga.com/products/w6746r-scholar-knit-high-waist-my-serve-tennis-skirt-pink-marshmallow-white?variant=50662340067687,1,2,2,11.479439314422372,1.0,0,Alo Yoga Scholar Knit High-Waist My Serve,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Scholar+Knit+High-Waist+My+Serve&LH_Sold=1&LH_Complete=1,,,,,,,,,
2,Conquer Reform Crewneck Short Sleeve - Garnet / Garnet / XL,M1205R079495,https://www.aloyoga.com/products/m1205r-conquer-reform-crewneck-short-sleeve-garnet?variant=50662078415207,1,2,1,11.479439314422372,1.0,0,Alo Yoga Conquer Reform Crewneck Short Sleeve,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Conquer+Reform+Crewneck+Short+Sleeve&LH_Sold=1&LH_Complete=1,,,,,,,,,
3,Sheer Cashmere Long Cardigan - Sun Kissed Brown / Sun Kissed Brown / M,W3945R079533,https://www.aloyoga.com/products/w3945r-sheer-cashmere-long-cardigan-sun-kissed-brown?variant=50662111773031,1,2,1,11.479439314422372,1.0,0,Alo Yoga Sheer Cashmere Long Cardigan,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Sheer+Cashmere+Long+Cardigan&LH_Sold=1&LH_Complete=1,,,,,,,,,
4,Airlift Connection Bra - Summer Romance Red / Summer Romance Red / XXS,W9985R079520,https://www.aloyoga.com/products/w9985r-airlift-connection-bra-summer-romance-red?variant=50662161219943,0,1,1,0.0,1.0,0,Alo Yoga Airlift Connection Bra,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Airlift+Connection+Bra&LH_Sold=1&LH_Complete=1,,,,,,,,,
5,Cotton Cashmere High-Waist Capri Dream Skirt - Sundrenched Pink/White / Sundrenched Pink/White / S,W6640P081692,https://www.aloyoga.com/products/w6640p-cotton-cashmere-high-waist-capri-dream-skirt-sundrenched-pink-white?variant=50662141559143,0,1,1,0.0,1.0,0,Alo Yoga Cotton Cashmere High-Waist Capri Dream,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Cotton+Cashmere+High-Waist+Capri+Dream&LH_Sold=1&LH_Complete=1,,,,,,,,,
6,Cotton Cashmere My Serve Short Sleeve - Sandy Beige/White / Sandy Beige/White / S,W1516P082482,https://www.aloyoga.com/products/w1516p-cotton-cashmere-my-serve-short-sleeve-sandy-beige-white?variant=50662098469223,0,1,1,0.0,1.0,0,Alo Yoga Cotton Cashmere My Serve Short,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Cotton+Cashmere+My+Serve+Short&LH_Sold=1&LH_Complete=1,,,,,,,,,
7,Cropped Dreamscape Tank - Dune Grass / Dune Grass / M,W2802R079473,https://www.aloyoga.com/products/w2802r-cropped-dreamscape-tank-dune-grass?variant=50662099812711,0,1,1,0.0,1.0,0,Alo Yoga Cropped Dreamscape Tank,https://www.ebay.co.uk/sch/i.html?_nkw=Alo+Yoga+Cropped+Dreamscape+Tank&LH_Sold=1&LH_Complete=1,,,,,,,,,
8,Gymshark College Crest Graphic Track Jacket - Black / Extra Extra Large,B7B6D-BB2J-XXL,https://gymshark.com/products/gymshark-college-crest-graphic-track-jacket-jackets-outerwear-black-aw26?variant=39798154657994,0,1,1,0.0,1.0,0,Gymshark | Be a visionary. College Crest,https://www.ebay.co.uk/sch/i.html?_nkw=Gymshark+%7C+Be+a+visionary.+College+Crest&LH_Sold=1&LH_Complete=1,,,,,,,,,
9,Gymshark Lift Seamless 2.0 Mid-Rise Shorts - Chilled Blue / Small,B7B3S-UD6Z-S,https://gymshark.com/products/gymshark-lift-seamless-2-0-shorts-shorts-blue-ss26?variant=39798134276298,0,1,1,0.0,1.0,0,Gymshark | Be a visionary. Lift Seamless,https://www.ebay.co.uk/sch/i.html?_nkw=Gymshark+%7C+Be+a+visionary.+Lift+Seamless&LH_Sold=1&LH_Complete=1,,,,,,,,,
10,Gymshark x Bratz Light Support Sports Bra - Super-Set Pink/Wash / Large,B5C9T-KDGN-L,https://gymshark.com/products/gymshark-x-bratz-light-support-sports-bra-sports-bras-pink-ss26?variant=39797987082442,0,1,1,0.0,1.0,0,Gymshark | Be a visionary. x Bratz,https://www.ebay.co.uk/sch/i.html?_nkw=Gymshark+%7C+Be+a+visionary.+x+Bratz&LH_Sold=1&LH_Complete=1,,,,,,,,,
