source,lot_id,lot_url,lot_ask_price_usd,lot_units,lot_condition,manifest_accuracy_risk_pct,line_manufacturer,line_title,line_category,line_model,line_condition,line_upc,line_quantity,line_retail_price_usd,frozen_brand,frozen_mpn,identity_status,audited_at
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze WYZEWMV2 Window Mount for Wyze Cam OG, v3, v3 Pro, and v4, Black, Adjustable Glare-Free Glass Mount, Pack of 1",Electronics -> Cameras -> Accessories,WYZEWMV2,Open Box Like New,810083472713,2,10.32,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze WLPS1-RB Smart 15 Amp Programmable Touch and Push Button Light Switch, White 1-Pack",Home Improvement -> Hardware,WLPS1-RB,Open Box Like New,810083470436,1,14.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze WLPS1-RB Smart 15 Amp Programmable Touch and Push Button Light Switch, White 1-Pack",Home Improvement -> Hardware,WLPS1-RB,Like New,810083470436,1,14.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze Cam OG Telephoto Indoor/Outdoor 1080p Wi-Fi Smart Security Camera with 3X Optical Zoom, Color Night Vision, Motion and Sound Detection, Two-Way Audio, White",Electronics -> Security & Surveillance,WYZECGT,GRADE A,810083471594,1,25.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze Sense Entry Sensor 3-Pack, Wireless Door and Window Security Sensors, White",Home -> Home Security & Safety,WSES2-3PK,Open Box Like New,850025015271,3,27.97,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze Wyzec4 Cam v4, 2.5K HD WiFi Smart Home Indoor/Outdoor Security Camera, Black",Electronics -> Security & Surveillance,WYZEC4,GRADE A,810083473680,1,25.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,Wyze WYZECPAN3_BK Pan v3 Indoor/Outdoor Pan/Tilt/Zoom 1080p Security Camera - Black,Electronics -> Security & Surveillance,WYZECPAN3_BK,GRADE A,810083472782,19,39.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,Wyze wyzecpan3 Cam Pan v3 Indoor/Outdoor Wireless 1080p PTZ Security Camera - WHITE,Electronics -> Security & Surveillance,WYZECPAN3,GRADE A,810083471822,21,39.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,Wyze WYZECPAN3_BK Pan v3 Indoor/Outdoor Pan/Tilt/Zoom 1080p Security Camera - Black,Electronics -> Security & Surveillance,WYZECPAN3_BK,GRADE B,810083472782,1,39.98,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
Direct Liquidation,945452,https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,1088.08,78,Mixed,15,Wyze,"Wyze Wired IP65 Weather Resistant Video Doorbell, Black",Electronics -> Security & Surveillance,Wired IP65 Weather Resistant Video Doorbell,GRADE A,810083472744,23,44.94,,,NOT_IN_FROZEN_UNIVERSE,2026-08-24T12:28:40Z
