model,manufacturers,titles,categories,upcs,valid_gtins,lot_count,manifest_line_count,total_quantity,conditions,lot_ids,lot_urls,first_seen_at
Cam V3,Wyze,Wyze Cam V3 Wired Smart Security Camera 2-Pack with 2 x 32GB microSDHC Cards White,Electronics -> Security & Surveillance,810083474373,810083474373,1,1,1,GRADE A,945439,https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439,2026-08-24T12:28:40Z
WBAT2,Wyze,Wyze WBAT2 Removable Battery Pack v2 - Single Pack (BCP),Electronics -> Security & Surveillance,810083474731,810083474731,1,1,20,GRADE A,945447,https://www.directliquidation.com/p/945447-1-parcel-box-96-pcs-security-and-surveillance-mixed-conditions-wyze/945447,2026-08-24T12:28:40Z
WCGDCB,Wyze,Wyze WCGDCB Smart Garage Door Opener w/Built-in HD Video,Electronics -> Security & Surveillance,810083470917,810083470917,5,5,7,GRADE A,945438;945439;945440;945442;945443,https://www.directliquidation.com/p/945438-1-parcel-box-36-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945438;https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439;https://www.directliquidation.com/p/945440-1-parcel-box-39-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945440;https://www.directliquidation.com/p/945442-1-parcel-box-27-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945442;https://www.directliquidation.com/p/945443-1-parcel-box-34-pcs-security-and-surveillance-mixed-conditions-wyze/945443,2026-08-24T12:28:40Z
WCHIM,Wyze,Wyze WiFi Chime,Home -> Home Security & Safety,810083474564,810083474564,7,7,8,Open Box Like New;Used,945437;945438;945439;945440;945441;945442;945443,https://www.directliquidation.com/p/945437-1-parcel-box-24-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945437;https://www.directliquidation.com/p/945438-1-parcel-box-36-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945438;https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439;https://www.directliquidation.com/p/945440-1-parcel-box-39-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945440;https://www.directliquidation.com/p/945441-1-parcel-box-95-pcs-security-and-surveillance-mixed-conditions-wyze/945441;https://www.directliquidation.com/p/945442-1-parcel-box-27-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945442;https://www.directliquidation.com/p/945443-1-parcel-box-34-pcs-security-and-surveillance-mixed-conditions-wyze/945443,2026-08-24T12:28:40Z
WDCDOBL,Wyze,Wyze Duo Cam Doorbell Only (No Chime) Black,Electronics -> Security & Surveillance,810083474700,810083474700,1,1,1,GRADE A,945442,https://www.directliquidation.com/p/945442-1-parcel-box-27-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945442,2026-08-24T12:28:40Z
Wired IP65 Weather Resistant Video Doorbell,Wyze,"Wyze Wired IP65 Weather Resistant Video Doorbell, Black",Electronics -> Security & Surveillance,810083472744,810083472744,2,2,38,GRADE A,945441;945452,https://www.directliquidation.com/p/945441-1-parcel-box-95-pcs-security-and-surveillance-mixed-conditions-wyze/945441;https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,2026-08-24T12:28:40Z
WLPP1,Wyze,"Wyze WLPP1 Smart Home Plug, 2 Pack White",Home Improvement -> Hardware,859696007271,859696007271,3,3,3,Open Box Like New;Used,945437;945438;945439,https://www.directliquidation.com/p/945437-1-parcel-box-24-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945437;https://www.directliquidation.com/p/945438-1-parcel-box-36-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945438;https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439,2026-08-24T12:28:40Z
WLPPO1-1,Wyze,Wyze WLPPO1-1 Outdoor Smart Plug with Dual Outlets,Home Improvement -> Hardware,859696007660,859696007660,6,6,9,New;Open Box Like New;Used,945437;945438;945439;945440;945442;945443,https://www.directliquidation.com/p/945437-1-parcel-box-24-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945437;https://www.directliquidation.com/p/945438-1-parcel-box-36-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945438;https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439;https://www.directliquidation.com/p/945440-1-parcel-box-39-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945440;https://www.directliquidation.com/p/945442-1-parcel-box-27-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945442;https://www.directliquidation.com/p/945443-1-parcel-box-34-pcs-security-and-surveillance-mixed-conditions-wyze/945443,2026-08-24T12:28:40Z
WLPS1_CA,Wyze,"Wyze WLPS1_CA Smart Programmable 15 Amp Touch and Push Button Light Switch, White",Home Improvement -> Hardware,810083470955,810083470955,2,2,6,Open Box Like New,945438;945443,https://www.directliquidation.com/p/945438-1-parcel-box-36-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945438;https://www.directliquidation.com/p/945443-1-parcel-box-34-pcs-security-and-surveillance-mixed-conditions-wyze/945443,2026-08-24T12:28:40Z
WLPS1-RB,Wyze,"Wyze WLPS1-RB Smart 15 Amp Programmable Touch and Push Button Light Switch, White 1-Pack",Home Improvement -> Hardware,810083470436,810083470436,3,4,5,Like New;New;Open Box Like New,945439;945440;945452,https://www.directliquidation.com/p/945439-1-parcel-box-30-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945439;https://www.directliquidation.com/p/945440-1-parcel-box-39-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945440;https://www.directliquidation.com/p/945452-1-parcel-box-78-pcs-security-and-surveillance-home-security-and-safety-mixed-conditions-wyze/945452,2026-08-24T12:28:40Z
