id,candidate,supply_gbp,list_gbp,markdown_pct,est_cm_gbp,est_roi_cost_pct,est_cm_rev_pct,active_median_gbp,active_p25_gbp,active_sellers,stockout_signal,category,store,terapeak_query,terapeak_url,manual_sold_median,manual_sold_90d,manual_verdict,manual_notes
1,Brooklinen Washed Classic Percale Pillowcase Set,12.66,50.64,75,26.77,167,49,54.31,50.64,235,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Washed Classic Percale Pillowcase Set,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Washed+Classic+Percale+Pillowcase+Set&dayRange=90&tabName=SOLD,,,,
2,Brooklinen Organic Cotton Pillowcase Set,13.76,55.04,75,24.93,145,47,53.57,35.23,34,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Organic Cotton Pillowcase Set,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Organic+Cotton+Pillowcase+Set&dayRange=90&tabName=SOLD,,,,
3,Brooklinen Classic Percale Pillowcase Set,10.82,43.30,75,24.10,169,49,49.17,45.50,228,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Classic Percale Pillowcase Set,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Classic+Percale+Pillowcase+Set&dayRange=90&tabName=SOLD,,,,
4,Brooklinen Washed European Linen Pillowcase Set,14.49,57.98,75,50.78,279,60,85.13,22.75,277,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Washed European Linen Pillowcase Set,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Washed+European+Linen+Pillowcase+Set&dayRange=90&tabName=SOLD,,,,
5,Brooklinen Sesame Street Pillowcase Set,10.09,40.36,75,50.32,345,62,80.73,77.06,31,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Sesame Street Pillowcase Set,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Sesame+Street+Pillowcase+Set&dayRange=90&tabName=SOLD,,,,
6,Stanley 10 OZ,5.87,23.48,75,97.93,944,75,131.36,98.34,360,none/0cyc/0so,default,www.stanley1913.com,Stanley 10 OZ,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+10+OZ&dayRange=90&tabName=SOLD,,,,
7,Jeffree Star Cosmetics Hi How Are Ya,7.34,25.69,71,92.69,783,73,126.96,79.26,294,none/0cyc/0so,clothing,jeffreestarcosmetics.com,Jeffree Star Cosmetics Hi How Are Ya,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Jeffree+Star+Cosmetics+Hi+How+Are+Ya&dayRange=90&tabName=SOLD,,,,
8,Stanley IceFlow Bottle with Fast Flow Lid,10.27,34.49,70,53.85,375,64,84.40,80.73,256,none/0cyc/0so,default,www.stanley1913.com,Stanley IceFlow Bottle with Fast Flow Lid,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+IceFlow+Bottle+with+Fast+Flow+Lid&dayRange=90&tabName=SOLD,,,,
9,Gymshark | Be a visionary. VItal Warm,14.09,46.97,70,88.45,476,68,129.90,96.87,318,none/0cyc/0so,clothing,gymshark.com,Gymshark | Be a visionary. VItal Warm,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Gymshark+%7C+Be+a+visionary.+VItal+Warm&dayRange=90&tabName=SOLD,,,,
10,Visa Cash App Racing Bulls Las Vegas,22.02,64.54,66,36.14,137,46,77.79,15.41,267,none/0cyc/0so,clothing,www.redbullshopus.com,Visa Cash App Racing Bulls Las Vegas,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Visa+Cash+App+Racing+Bulls+Las+Vegas&dayRange=90&tabName=SOLD,,,,
11,Stanley The IceFlow Tumbler with Fast Flow,11.01,30.82,64,13.64,86,34,39.63,79.99,235,none/0cyc/0so,default,www.stanley1913.com,Stanley The IceFlow Tumbler with Fast Flow,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+The+IceFlow+Tumbler+with+Fast+Flow&dayRange=90&tabName=SOLD,,,,
12,Allbirds Men s Runner Protect,39.44,98.60,60,37.63,90,39,96.87,49.17,33,none/0cyc/0so,shoes,www.allbirds.ca,Allbirds Men s Runner Protect,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Men+s+Runner+Protect&dayRange=90&tabName=SOLD,,,,
13,Brooklinen Heathered Cashmere Pillowcases,23.19,57.98,60,88.69,336,64,138.70,61.65,10,none/0cyc/0so,default,www.brooklinen.com,Brooklinen Heathered Cashmere Pillowcases,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Brooklinen+Heathered+Cashmere+Pillowcases&dayRange=90&tabName=SOLD,,,,
14,Stanley 1913 The Essentials Case,8.81,22.02,60,41.55,312,60,68.98,35.96,395,none/0cyc/0so,default,www.stanley1913.com,Stanley 1913 The Essentials Case,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+1913+The+Essentials+Case&dayRange=90&tabName=SOLD,,,,
15,Stanley 1913 Quencher Boot and Straw Cover,2.94,7.34,60,40.50,545,66,60.91,71.92,124,none/0cyc/0so,shoes,www.stanley1913.com,Stanley 1913 Quencher Boot and Straw Cover,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+1913+Quencher+Boot+and+Straw+Cover&dayRange=90&tabName=SOLD,,,,
16,Stanley 1913 The Stay Smooth Straw Topper,2.94,7.34,60,31.07,418,62,49.90,31.56,369,none/0cyc/0so,default,www.stanley1913.com,Stanley 1913 The Stay Smooth Straw Topper,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+1913+The+Stay+Smooth+Straw+Topper&dayRange=90&tabName=SOLD,,,,
17,Allbirds Women s Tree Topper,35.96,84.40,57,20.97,52,27,77.06,29.36,86,none/0cyc/0so,default,www.allbirds.com,Allbirds Women s Tree Topper,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Women+s+Tree+Topper&dayRange=90&tabName=SOLD,,,,
18,Ridge Phone Case - Carbon,21.28,47.70,55,73.65,303,65,113.02,79.99,115,none/0cyc/0so,electronics,www.ridgewallet.com,Ridge Phone Case - Carbon,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Ridge+Phone+Case+-+Carbon&dayRange=90&tabName=SOLD,,,,
19,The Ridge Mini Folder,21.28,47.70,55,14.51,60,30,49.17,74.86,128,none/0cyc/0so,default,www.ridgewallet.com,The Ridge Mini Folder,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=The+Ridge+Mini+Folder&dayRange=90&tabName=SOLD,,,,
20,Jeffree Star Cosmetics BYOB Star-Studded College Survival,47.70,106.41,55,13.97,27,17,82.19,63.85,113,none/0cyc/0so,default,jeffreestarcosmetics.com,Jeffree Star Cosmetics BYOB Star-Studded College Survival,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Jeffree+Star+Cosmetics+BYOB+Star-Studded+College+Survival&dayRange=90&tabName=SOLD,,,,
21,Ridge Phone Case - Tobacco Brown Leather,18.35,40.36,55,56.80,266,62,91.00,43.30,165,none/0cyc/0so,electronics,www.ridgewallet.com,Ridge Phone Case - Tobacco Brown Leather,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Ridge+Phone+Case+-+Tobacco+Brown+Leather&dayRange=90&tabName=SOLD,,,,
22,Ridge Phone Case - Lavender,13.94,29.36,52,10.40,61,30,34.49,16.15,88,none/0cyc/0so,electronics,www.ridgewallet.com,Ridge Phone Case - Lavender,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Ridge+Phone+Case+-+Lavender&dayRange=90&tabName=SOLD,,,,
23,Ridge Keychain,12.48,25.69,51,31.07,205,54,57.98,39.63,380,none/0cyc/0so,default,www.ridgewallet.com,Ridge Keychain,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Ridge+Keychain&dayRange=90&tabName=SOLD,,,,
24,Allbirds Men s Slide,19.81,40.36,51,17.13,69,32,54.31,94.67,95,none/0cyc/0so,shoes,www.allbirds.com,Allbirds Men s Slide,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Men+s+Slide&dayRange=90&tabName=SOLD,,,,
25,Allbirds Women s Slide,19.81,40.36,51,63.03,253,58,107.88,89.53,108,none/0cyc/0so,shoes,www.allbirds.com,Allbirds Women s Slide,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Women+s+Slide&dayRange=90&tabName=SOLD,,,,
26,Allbirds Men s Tree Skipper,38.16,77.06,50,7.49,17,11,65.32,46.97,390,none/0cyc/0so,sports,www.allbirds.com,Allbirds Men s Tree Skipper,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Men+s+Tree+Skipper&dayRange=90&tabName=SOLD,,,,
27,Allbirds Women s Tree Piper,38.16,77.06,50,30.03,69,33,91.00,28.62,25,none/0cyc/0so,default,www.allbirds.com,Allbirds Women s Tree Piper,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Allbirds+Women+s+Tree+Piper&dayRange=90&tabName=SOLD,,,,
28,Red Bull Rampage Frenzy Bucket Hat One,14.64,29.32,50,86.27,455,68,127.70,50.64,75,none/0cyc/0so,default,www.redbullshopus.com,Red Bull Rampage Frenzy Bucket Hat One,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Red+Bull+Rampage+Frenzy+Bucket+Hat+One&dayRange=90&tabName=SOLD,,,,
29,Gymshark | Be a visionary. Chainstitch Graphic,19.81,39.63,50,6.65,27,16,41.10,22.75,97,none/0cyc/0so,clothing,gymshark.com,Gymshark | Be a visionary. Chainstitch Graphic,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Gymshark+%7C+Be+a+visionary.+Chainstitch+Graphic&dayRange=90&tabName=SOLD,,,,
30,Gymshark | Be a visionary. Leather Lifting,10.27,20.55,50,20.59,139,45,46.23,13.21,144,none/0cyc/0so,default,gymshark.com,Gymshark | Be a visionary. Leather Lifting,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Gymshark+%7C+Be+a+visionary.+Leather+Lifting&dayRange=90&tabName=SOLD,,,,
