ts,product_key,region,n_clean,n_raw,min_gbp,p10_gbp,p25_gbp,cheap3_gbp,median_gbp,source_price_now_gbp,source_ref_gbp,first_markdown_ts
2026-08-23T08:31:13Z,chemical guys basic wash and wax kit,US,1,50,72.47,72.47,72.47,72.47,72.47,26.35,29.28,2026-08-23T07:03:33Z
2026-08-23T08:31:13Z,chemical guys black car care starter kit,US,1,50,111.16,111.16,111.16,111.16,111.16,51.25,60.01,2026-08-23T07:03:33Z
2026-08-23T08:31:13Z,chemical guys car wash accessories bundle,US,1,50,65.90,65.90,65.90,65.90,65.90,19.03,21.21,2026-08-23T07:03:33Z
2026-08-23T08:31:13Z,chemical guys foam wash starter kit,US,6,50,43.93,58.58,87.95,73.22,132.34,55.65,65.87,2026-08-23T07:03:33Z
2026-08-23T08:31:13Z,chemical guys leather care starter kit,US,5,50,13.85,17.82,23.77,23.77,60.68,9.51,10.98,2026-08-23T07:03:33Z
2026-08-23T08:31:13Z,chrome industries mini kadet 5l sling,US,2,28,74.27,85.05,101.22,128.17,128.17,43.93,58.58,2026-08-23T08:02:26Z
2026-08-23T08:31:13Z,cotopaxi coraje tech cargo pant,US,1,17,72.50,72.50,72.50,72.50,72.50,33.68,84.21,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,cotopaxi fuego down overall,US,1,1,164.76,164.76,164.76,164.76,164.76,83.48,208.70,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,cotopaxi fuego down pant,US,1,5,164.76,164.76,164.76,164.76,164.76,82.38,164.76,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,cotopaxi mente 22l tote,US,1,42,128.15,128.15,128.15,128.15,128.15,51.26,80.55,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,cotopaxi repleto down jacket,US,40,50,83.77,95.00,115.33,87.14,136.77,54.19,135.47,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,cotopaxi todo 3l bucket bag,US,1,8,66.64,66.64,66.64,66.64,66.64,14.65,32.95,2026-08-23T07:22:27Z
2026-08-23T08:31:13Z,distil union ashley sunglasses,US,1,1,76.89,76.89,76.89,76.89,76.89,25.26,50.53,2026-08-23T08:02:26Z
2026-08-23T08:31:13Z,distil union capers sunglasses,US,6,6,43.86,56.69,71.37,69.53,76.89,25.26,50.53,2026-08-23T08:02:26Z
2026-08-23T08:31:13Z,distil union kiawah sunglasses,US,1,1,76.89,76.89,76.89,76.89,76.89,25.26,50.53,2026-08-23T08:02:26Z
2026-08-23T08:31:13Z,distil union norm bifold,US,3,3,109.98,114.43,121.10,132.22,132.22,31.12,62.24,2026-08-23T08:02:26Z
2026-08-23T08:31:13Z,fellow carter 3-in-1 lid system stone blue,US,1,1,153.77,153.77,153.77,153.77,153.77,36.58,41.74,2026-08-22T09:20:41Z
2026-08-23T08:31:13Z,our place beechwood spatulas,US,6,27,30.76,41.37,54.00,51.98,60.04,8.78,14.65,2026-08-22T09:20:41Z
