cm_gbp,roi_cost_pct,supply_local,buy_gbp,ask_median_gbp,haircut_sell_gbp,active_listings,sku,product_type,candidate,store,supply_url,sold_check_url
60.94,51,USD 142.97,104.69,366.14,219.68,14,22070R,,Goal Zero Yeti 200X OPEN BOX,goalzero.com,https://goalzero.com/products/yeti-200x-open-box?variant=42316551356585,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+200X+OPEN+BOX&LH_Sold=1&LH_Complete=1
52.33,115,USD 50.97,37.32,201.38,120.83,1,95008,Wireless Charging Pad,Goal Zero Basecamp 4,goalzero.com,https://goalzero.com/products/basecamp-4-magsafe-wireless-charging-pad?variant=44773332943017,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Basecamp+4&LH_Sold=1&LH_Complete=1
49.13,150,USD 40.46,29.63,166.23,99.74,65,L-SG-3A,Camera Straps,Peak Design PD Certified Sage,peakdesign.com,https://peakdesign.com/products/leash-sage-pd-certified?variant=42770713083981,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Sage&LH_Sold=1&LH_Complete=1
38.97,77,USD 62.96,46.10,183.07,109.84,17,BEDS-3-AS-2A,Bags,Peak Design PD Certified 3L Ash,peakdesign.com,https://peakdesign.com/products/everyday-sling-3l-ash-v1-pd-certified?variant=41875284820045,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+3L+Ash&LH_Sold=1&LH_Complete=1
32.19,76,USD 49.95,36.58,153.77,92.26,1,CBOX-SB,Drinkware,Fellow Carter 3-in-1 Lid System Stone Blue,fellowproducts.com,https://fellowproducts.com/products/carter-3-in-1-lid-system?variant=43274207887460,https://www.ebay.co.uk/sch/i.html?_nkw=Fellow+Carter+3-in-1+Lid+System+Stone+Blue&LH_Sold=1&LH_Complete=1
26.94,226,USD 11.99,8.78,82.75,49.65,27,ADD.SPA.SOT.NAT,add-ons,Our Place Beechwood Spatulas,fromourplace.com,https://fromourplace.com/products/beechwood-spatulas?variant=39583567413442,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Beechwood+Spatulas&LH_Sold=1&LH_Complete=1
23.21,36,USD 81.86,59.94,179.40,107.64,16,BEDS-6-AS-2A,Bags,Peak Design PD Certified 6L Ash,peakdesign.com,https://peakdesign.com/products/everyday-sling-6l-ash-v1-pd-certified?variant=42770716229709,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+6L+Ash&LH_Sold=1&LH_Complete=1
19.78,31,USD 79.96,58.55,169.95,101.97,3,BEDS-3-BK-3B,Bags,Peak Design Factory 2nd 3L Black,peakdesign.com,https://peakdesign.com/products/everyday-sling-3l-black-factory-2nd?variant=41875286261837,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+Factory+2nd+3L+Black&LH_Sold=1&LH_Complete=1
19.51,84,USD 25.99,19.03,91.54,54.92,5,ADD.RRK.ESN.NON,add-ons,Our Place Perfect Pot Roasting Rack,fromourplace.com,https://fromourplace.com/products/perfect-pot-roasting-rack?variant=43484588572866,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Perfect+Pot+Roasting+Rack&LH_Sold=1&LH_Complete=1
19.17,38,USD 64.76,47.42,144.26,86.56,99,SL-MN-3A,Camera Straps,Peak Design PD Certified Midnight,peakdesign.com,https://peakdesign.com/products/slide-midnight-pd-certified?variant=42770712494157,https://www.ebay.co.uk/sch/i.html?_nkw=Peak+Design+PD+Certified+Midnight&LH_Sold=1&LH_Complete=1
17.75,37,USD 59.99,43.93,130.18,78.11,48,ST-TC100GM-AU,Wall Chargers,Satechi 100W USB-C PD Compact GaN Charger,satechi.net,https://satechi.net/products/100w-usb-c-pd-compact-charger?variant=39973229625432,https://www.ebay.co.uk/sch/i.html?_nkw=Satechi+100W+USB-C+PD+Compact+GaN+Charger&LH_Sold=1&LH_Complete=1
15.21,138,USD 9.97,7.30,58.55,35.13,1,96150,,Goal Zero Yeti Tank PRO 4000 Locking,goalzero.com,https://goalzero.com/products/yeti-tank-pro-4000-locking-latch-kit?variant=43232346177705,https://www.ebay.co.uk/sch/i.html?_nkw=Goal+Zero+Yeti+Tank+PRO+4000+Locking&LH_Sold=1&LH_Complete=1
14.61,123,USD 11.99,8.78,58.58,35.15,17,ADD.SPN.2NH.NAT,add-ons,Our Place Beechwood Spoons,fromourplace.com,https://fromourplace.com/products/beechwood-spoons?variant=42443135680706,https://www.ebay.co.uk/sch/i.html?_nkw=Our+Place+Beechwood+Spoons&LH_Sold=1&LH_Complete=1
12.14,260,USD 2.63,1.93,39.52,23.71,1,01218,GEAR,GSI Outdoors Pioneer Tablespoon,gsioutdoors.com,https://gsioutdoors.com/products/pioneer-tablespoon?variant=44359916847336,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Tablespoon&LH_Sold=1&LH_Complete=1
11.55,90,USD 9.99,7.32,52.75,31.65,4,12-2018,Cases & Covers,Twelve South SuitCase for MacBook 16-inch Pro,twelvesouth.com,https://twelvesouth.com/products/suitcase-for-macbook?variant=32898494201913,https://www.ebay.co.uk/sch/i.html?_nkw=Twelve+South+SuitCase+for+MacBook+16-inch+Pro&LH_Sold=1&LH_Complete=1
11.55,90,USD 9.99,7.32,52.75,31.65,4,TS-2203,Cases & Covers,Twelve South SuitCase for MacBook 14-inch Pro,twelvesouth.com,https://twelvesouth.com/products/suitcase-for-macbook?variant=40835900309561,https://www.ebay.co.uk/sch/i.html?_nkw=Twelve+South+SuitCase+for+MacBook+14-inch+Pro&LH_Sold=1&LH_Complete=1
11.02,63,USD 19.99,14.64,62.53,37.52,2,SLING-UNI-BLU-ES,Slings,Native Union City Sling I Emilie Sarnel,nativeunion.com,https://nativeunion.com/products/city-sling-i-emilie-sarnel-limited-edition?variant=42909315661963,https://www.ebay.co.uk/sch/i.html?_nkw=Native+Union+City+Sling+I+Emilie+Sarnel&LH_Sold=1&LH_Complete=1
8.62,186,USD 2.63,1.93,32.58,19.55,6,01255,GEAR,GSI Outdoors Pioneer Knife,gsioutdoors.com,https://gsioutdoors.com/products/pioneer-knife?variant=44359915962600,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Knife&LH_Sold=1&LH_Complete=1
6.85,94,USD 5.99,4.39,32.95,19.77,16,ST-UCQIMCM,Cables ## Wireless Chargers,Satechi USB-C Magnetic Wireless Charging Cable,satechi.net,https://satechi.net/products/magnetic-wireless-charging-cable?variant=33506191605848,https://www.ebay.co.uk/sch/i.html?_nkw=Satechi+USB-C+Magnetic+Wireless+Charging+Cable&LH_Sold=1&LH_Complete=1
5.05,109,USD 2.63,1.93,25.63,15.38,5,01245,GEAR,GSI Outdoors Pioneer Fork,gsioutdoors.com,https://gsioutdoors.com/products/pioneer-fork?variant=44359915929832,https://www.ebay.co.uk/sch/i.html?_nkw=GSI+Outdoors+Pioneer+Fork&LH_Sold=1&LH_Complete=1
