cm_gbp,roi_cost_pct,cm_rev_pct,supply_local,buy_gbp,invested_gbp,ask_median_gbp,ask_p25_gbp,active_listings,grams,candidate,store,supply_url,sold_check_url
95.07,361,65,USD 31.60,23.14,26.36,146.09,39.54,10,181,Brooklinen Heathered Cashmere Pillowcases,www.brooklinen.com,https://www.brooklinen.com/products/heathered-cashmere-pillowcases-last-call?variant=42951699857498,https://www.ebay.co.uk/sch/i.html?_nkw=Brooklinen+Heathered+Cashmere+Pillowcases&LH_Sold=1&LH_Complete=1
53.90,79,37,USD 89.00,65.17,68.01,146.46,124.49,3,85,Ridge Daily Driver Kit,www.ridgewallet.com,https://www.ridgewallet.com/products/daily-driver-kit-lavender?variant=41535941214282,https://www.ebay.co.uk/sch/i.html?_nkw=Ridge+Daily+Driver+Kit&LH_Sold=1&LH_Complete=1
34.90,204,54,USD 18.75,13.73,17.14,65.17,26.35,9,227,Brooklinen Organic Cotton Pillowcase Set,www.brooklinen.com,https://www.brooklinen.com/products/organic-pillowcases-last-call?variant=43329180434522,https://www.ebay.co.uk/sch/i.html?_nkw=Brooklinen+Organic+Cotton+Pillowcase+Set&LH_Sold=1&LH_Complete=1
31.43,221,54,USD 14.75,10.80,14.21,57.70,36.61,36,227,Brooklinen Classic Percale Pillowcase Set,www.brooklinen.com,https://www.brooklinen.com/products/classic-pillowcases-last-call?variant=43874678046810,https://www.ebay.co.uk/sch/i.html?_nkw=Brooklinen+Classic+Percale+Pillowcase+Set&LH_Sold=1&LH_Complete=1
31.24,146,50,USD 25.00,18.31,21.34,62.53,60.77,2,132,Ridge Phone Case - Tobacco Brown Leather,www.ridgewallet.com,https://www.ridgewallet.com/products/iphone-16-plus-case-tobacco-brown-leather?variant=41589820096586,https://www.ebay.co.uk/sch/i.html?_nkw=Ridge+Phone+Case+-+Tobacco+Brown+Leather&LH_Sold=1&LH_Complete=1
28.17,36,22,USD 99.00,72.50,78.60,130.35,130.35,1,900,Taylor Stitch The Eddy Cardigan in Heather,www.taylorstitch.com,https://www.taylorstitch.com/products/eddy-cardigan-in-heather-charcoal-herringbone-2508?variant=41473869217869,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Eddy+Cardigan+in+Heather&LH_Sold=1&LH_Complete=1
28.07,176,50,USD 17.25,12.63,15.97,55.79,30.76,34,209,Brooklinen Washed Classic Percale Pillowcase Set,www.brooklinen.com,https://www.brooklinen.com/products/washed-classic-pillowcase-set-last-call?variant=43874679750746,https://www.ebay.co.uk/sch/i.html?_nkw=Brooklinen+Washed+Classic+Percale+Pillowcase+Set&LH_Sold=1&LH_Complete=1
27.50,50,27,CAD 92.50,49.30,55.51,102.67,102.67,1,928,Allbirds Women s Dasher NZ,www.allbirds.ca,https://www.allbirds.ca/products/womens-dasher-nz-auburn?variant=51463509934400,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Women+s+Dasher+NZ&LH_Sold=1&LH_Complete=1
27.21,49,27,CAD 92.50,49.30,55.71,102.67,58.30,3,978,Allbirds Men s Dasher NZ,www.allbirds.ca,https://www.allbirds.ca/products/mens-dasher-nz-ochre?variant=51463508427072,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Men+s+Dasher+NZ&LH_Sold=1&LH_Complete=1
21.05,136,44,USD 15.00,10.98,15.48,47.60,43.20,298,,Stanley 1913 12 OZ,www.stanley1913.com,https://www.stanley1913.com/products/everyday-camp-cup-12-oz?variant=53973078901096,https://www.ebay.co.uk/sch/i.html?_nkw=Stanley+1913+12+OZ&LH_Sold=1&LH_Complete=1
16.29,29,18,USD 67.50,49.43,56.73,91.54,49.56,7,1200,Taylor Stitch The Jack in Autumn Pine,www.taylorstitch.com,https://www.taylorstitch.com/products/jack-in-autumn-pine-plaid-flannel-2509?variant=41473873838157,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Jack+in+Autumn+Pine&LH_Sold=1&LH_Complete=1
13.51,55,28,USD 29.40,21.53,24.45,48.50,26.33,89,104,Ridge MagSafe Cardholder,www.ridgewallet.com,https://www.ridgewallet.com/products/magsafe-cardholder-lavender?variant=42324973060170,https://www.ebay.co.uk/sch/i.html?_nkw=Ridge+MagSafe+Cardholder&LH_Sold=1&LH_Complete=1
12.98,71,32,USD 19.75,14.46,18.19,40.97,36.61,22,308,Brooklinen Washed European Linen Pillowcase Set,www.brooklinen.com,https://www.brooklinen.com/products/washed-linen-pillowcases-last-call?variant=43666232377434,https://www.ebay.co.uk/sch/i.html?_nkw=Brooklinen+Washed+European+Linen+Pillowcase+Set&LH_Sold=1&LH_Complete=1
12.91,18,12,USD 89.00,65.17,71.27,103.98,65.17,9,900,Taylor Stitch The Newton Sweater Polo in,www.taylorstitch.com,https://www.taylorstitch.com/products/newton-sweater-polo-in-midnight-merino-2508?variant=41473869676621,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Newton+Sweater+Polo+in&LH_Sold=1&LH_Complete=1
12.69,84,35,USD 17.00,12.45,15.09,36.49,25.63,147,36,Ridge Keychain,www.ridgewallet.com,https://www.ridgewallet.com/products/everyday-keychain-lavender?variant=42057329901642,https://www.ebay.co.uk/sch/i.html?_nkw=Ridge+Keychain&LH_Sold=1&LH_Complete=1
12.45,41,23,USD 34.00,24.90,30.07,54.90,8.79,4,667,Sportiqe Level Up Letterman Jacket,www.deathwishcoffee.com,https://www.deathwishcoffee.com/products/level-up-letterman-jacket?variant=41473926365239,https://www.ebay.co.uk/sch/i.html?_nkw=Sportiqe+Level+Up+Letterman+Jacket&LH_Sold=1&LH_Complete=1
11.52,22,14,USD 64.00,46.87,53.37,81.65,49.43,8,1000,Taylor Stitch The Conrad Shirt in Fired,www.taylorstitch.com,https://www.taylorstitch.com/products/short-sleeve-conrad-shirt-in-fired-brick-dobby-2404?variant=40204024021069,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Conrad+Shirt+in+Fired&LH_Sold=1&LH_Complete=1
11.20,70,31,USD 15.95,11.68,16.00,36.61,20.50,37,454,Red Bull Racing Oracle 2023 Las Vegas,www.redbullshopus.com,https://www.redbullshopus.com/products/oracle-red-bull-racing-2023-las-vegas-gp-t-shirt-1?variant=40325794529351,https://www.ebay.co.uk/sch/i.html?_nkw=Red+Bull+Racing+Oracle+2023+Las+Vegas&LH_Sold=1&LH_Complete=1
10.61,17,12,USD 76.80,56.24,62.74,91.53,51.26,11,1000,Taylor Stitch The Conrad Shirt in Fatigue,www.taylorstitch.com,https://www.taylorstitch.com/products/conrad-shirt-in-fatigue-olive-dobby-stripe-2506?variant=41369130008653,https://www.ebay.co.uk/sch/i.html?_nkw=Taylor+Stitch+The+Conrad+Shirt+in+Fatigue&LH_Sold=1&LH_Complete=1
10.07,42,23,USD 29.00,21.24,24.03,43.94,36.61,8,73,The Ridge Mini Folder,www.ridgewallet.com,https://www.ridgewallet.com/products/mini-folder-matte-olive?variant=41970973769802,https://www.ebay.co.uk/sch/i.html?_nkw=The+Ridge+Mini+Folder&LH_Sold=1&LH_Complete=1
8.55,19,12,CAD 75.00,39.97,46.18,69.67,69.67,3,928,Allbirds Women s Varsity Strap,www.allbirds.ca,https://www.allbirds.ca/products/womens-varsity-strap-burlwood?variant=51695674687808,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Women+s+Varsity+Strap&LH_Sold=1&LH_Complete=1
8.46,17,12,CAD 80.00,42.64,48.80,72.60,50.60,7,917,Allbirds Women s Varsity,www.allbirds.ca,https://www.allbirds.ca/products/womens-varsity-light-burnt-olive?variant=51559392641344,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Women+s+Varsity&LH_Sold=1&LH_Complete=1
6.66,30,17,CAD 35.00,18.65,22.39,38.50,33.00,2,310,Allbirds Men s Anytime Long Sleeve Tee,www.allbirds.ca,https://www.allbirds.ca/products/mens-anytime-long-sleeve-tee-natural-white?variant=47955439157568,https://www.ebay.co.uk/sch/i.html?_nkw=Allbirds+Men+s+Anytime+Long+Sleeve+Tee&LH_Sold=1&LH_Complete=1
5.21,74,28,USD 6.00,4.39,7.00,18.30,10.98,110,27,ColourPop Easy Livin,www.colourpop.com,https://www.colourpop.com/products/easy-livin-pressed-powder-highlighter?variant=40356980359250,https://www.ebay.co.uk/sch/i.html?_nkw=ColourPop+Easy+Livin&LH_Sold=1&LH_Complete=1
