product,query,market
TS SuitCase 16 [known-real],Twelve South SuitCase for MacBook 16-inch,GB
Cashmere King [promising],Brooklinen Heathered Cashmere Pillowcases King,US
Classic Percale Std,Brooklinen Classic Percale Pillowcase Set Standard,US
Eddy Cardigan,Taylor Stitch Eddy Cardigan,US
W Dasher NZ,Allbirds Women s Dasher NZ,US
M Dasher NZ,Allbirds Men s Dasher NZ,US
Ridge Daily Driver,Ridge Daily Driver Kit,US
Satechi 100W GaN,Satechi 100W USB-C Compact GaN Charger,GB
IceFlow 40oz,Stanley IceFlow Tumbler Fast Flow 40 OZ,GB
Basecamp 4,Goal Zero Basecamp 4,US
Fellow Carter lid,Fellow Carter 3-in-1 Lid,US
Beechwood Spatulas,Our Place Beechwood Spatulas,GB
PD V1 Loop 15 Pro Max,Peak Design iPhone 15 Pro Max Loop Case,GB
Norm Bifold,Distil Union Norm Bifold Wallet,US
Capers Sunglasses,Distil Union Capers Sunglasses,US
Chrome Mini Kadet,Chrome Industries Mini Kadet Sling,GB
ActionSleeve [hold],Twelve South ActionSleeve Apple Watch,GB
Skullcandy Icon ANC [hold],Skullcandy Icon ANC,GB
CG Leather Care kit [unverified],Chemical Guys Leather Care Kit,GB
Fuego Down Pant [hold],Cotopaxi Fuego Down Pant,US
