product,query,market,active_sold_counters_url,terapeak_research_url,sold_median,sold_count_90d,n_listings_with_sold,identity_ok,notes
TS SuitCase 16 [known-real],Twelve South SuitCase for MacBook 16-inch,GB,https://www.ebay.co.uk/sch/i.html?_nkw=Twelve+South+SuitCase+for+MacBook+16-inch&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Twelve+South+SuitCase+for+MacBook+16-inch&dayRange=90&tabName=SOLD,,,,,
Cashmere King [promising],Brooklinen Heathered Cashmere Pillowcases King,US,https://www.ebay.com/sch/i.html?_nkw=Brooklinen+Heathered+Cashmere+Pillowcases+King&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Brooklinen+Heathered+Cashmere+Pillowcases+King&dayRange=90&tabName=SOLD,,,,,
Classic Percale Std,Brooklinen Classic Percale Pillowcase Set Standard,US,https://www.ebay.com/sch/i.html?_nkw=Brooklinen+Classic+Percale+Pillowcase+Set+Standard&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Brooklinen+Classic+Percale+Pillowcase+Set+Standard&dayRange=90&tabName=SOLD,,,,,
Eddy Cardigan,Taylor Stitch Eddy Cardigan,US,https://www.ebay.com/sch/i.html?_nkw=Taylor+Stitch+Eddy+Cardigan&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Taylor+Stitch+Eddy+Cardigan&dayRange=90&tabName=SOLD,,,,,
W Dasher NZ,Allbirds Women s Dasher NZ,US,https://www.ebay.com/sch/i.html?_nkw=Allbirds+Women+s+Dasher+NZ&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Allbirds+Women+s+Dasher+NZ&dayRange=90&tabName=SOLD,,,,,
M Dasher NZ,Allbirds Men s Dasher NZ,US,https://www.ebay.com/sch/i.html?_nkw=Allbirds+Men+s+Dasher+NZ&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Allbirds+Men+s+Dasher+NZ&dayRange=90&tabName=SOLD,,,,,
Ridge Daily Driver,Ridge Daily Driver Kit,US,https://www.ebay.com/sch/i.html?_nkw=Ridge+Daily+Driver+Kit&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Ridge+Daily+Driver+Kit&dayRange=90&tabName=SOLD,,,,,
Satechi 100W GaN,Satechi 100W USB-C Compact GaN Charger,GB,https://www.ebay.co.uk/sch/i.html?_nkw=Satechi+100W+USB-C+Compact+GaN+Charger&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Satechi+100W+USB-C+Compact+GaN+Charger&dayRange=90&tabName=SOLD,,,,,
IceFlow 40oz,Stanley IceFlow Tumbler Fast Flow 40 OZ,GB,https://www.ebay.co.uk/sch/i.html?_nkw=Stanley+IceFlow+Tumbler+Fast+Flow+40+OZ&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-GB&keywords=Stanley+IceFlow+Tumbler+Fast+Flow+40+OZ&dayRange=90&tabName=SOLD,,,,,
Basecamp 4,Goal Zero Basecamp 4,US,https://www.ebay.com/sch/i.html?_nkw=Goal+Zero+Basecamp+4&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Goal+Zero+Basecamp+4&dayRange=90&tabName=SOLD,,,,,
Fellow Carter lid,Fellow Carter 3-in-1 Lid,US,https://www.ebay.com/sch/i.html?_nkw=Fellow+Carter+3-in-1+Lid&_sop=12,https://www.ebay.co.uk/sh/research?marketplace=EBAY-US&keywords=Fellow+Carter+3-in-1+Lid&dayRange=90&tabName=SOLD,,,,,
